Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to11,Feature log2 fold change topic 10to11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000069424,KCNAB2,112,-0.5729,92,-0.8685,147,-0.1955,71,-1.2504,171,0.09011,235,0.65767,216,0.50244
ENSG00000116254,CHD5,112,0.04341,62,-0.8493,93,-0.3027,143,0.43893,70,-0.7150,108,-0.0059,182,0.93014
ENSG00000116251,RPL22,112,-1.9100,902,1.34418,465,0.33890,429,0.11988,320,-0.3637,323,-0.3444,288,-0.5315
ENSG00000116237,ICMT,112,1.71539,24,-0.7479,23,-1.0344,19,-1.1378,59,0.70280,54,0.53844,22,-0.9535
ENSG00000097021,ACOT7,112,-1.3760,120,-1.2737,198,-0.6539,348,0.36151,475,0.97834,358,0.45007,281,0.02280
ENSG00000215788,TNFRSF25,112,3.27072,13,-0.5257,11,-0.9869,10,-0.9917,11,-0.9172,11,-0.8950,12,-0.7224
ENSG00000171680,PLEKHG5,112,2.28195,4,-2.8769,18,-0.9461,6,-2.2295,12,-1.3706,43,0.64921,40,0.52983
ENSG00000162408,NOL9,112,2.51362,18,-0.6000,18,-0.6842,32,0.32478,16,-0.8055,18,-0.6199,19,-0.4951
ENSG00000162413,KLHL21,112,2.51917,30,0.23216,20,-0.4975,10,-1.4145,17,-0.7128,20,-0.4155,17,-0.7427
ENSG00000116273,PHF13,112,2.95500,16,-0.4048,8,-1.6552,10,-1.1625,15,-0.5613,22,0.06569,17,-0.4268
ENSG00000041988,THAP3,112,2.62066,17,-0.5941,13,-1.2090,0,-5.4125,28,0.18420,27,0.16257,17,-0.6270
ENSG00000007923,DNAJC11,112,2.07958,28,-0.2439,29,-0.2376,7,-2.3016,22,-0.6422,28,-0.2301,31,-0.1022
ENSG00000171735,CAMTA1,112,-0.2852,143,0.09423,125,-0.1425,192,0.56575,136,0.02610,128,-0.0872,135,0.01376
ENSG00000049245,VAMP3,112,2.50315,97,2.21821,16,-0.9137,29,0.12532,4,-2.6611,8,-1.7780,8,-1.8744
ENSG00000049246,PER3,112,2.95998,14,-0.6248,16,-0.5655,6,-1.7596,11,-1.1102,13,-0.7549,17,-0.3418
ENSG00000116288,PARK7,112,-1.6821,447,0.43181,332,-0.0507,421,0.33314,415,0.34273,293,-0.2539,351,0.05327
ENSG00000116285,ERRFI1,112,2.70314,12,-0.9895,10,-1.5443,15,-0.7485,21,-0.2271,23,-0.0503,23,-0.1044
ENSG00000162426,SLC45A1,112,1.39097,18,-1.4165,26,-1.1533,51,0.09740,73,0.76951,50,0.08508,44,-0.1156
ENSG00000142599,RERE,112,0.77732,65,-0.0892,61,-0.2426,36,-0.9686,80,0.27092,73,0.11310,64,-0.1093
ENSG00000074800,ENO1,112,-2.4534,574,-0.0032,528,-0.1749,621,0.11982,791,0.56172,674,0.27356,565,-0.0320
ENSG00000171612,SLC25A33,112,1.62398,32,-0.4074,44,0.10336,45,0.10616,36,-0.2254,25,-0.8073,28,-0.6732
ENSG00000171608,PIK3CD,112,2.87052,9,-1.2789,17,-0.5587,26,0.21376,9,-1.4317,11,-1.0448,18,-0.3600
ENSG00000171603,CLSTN1,112,-2.3850,270,-1.0824,405,-0.5955,397,-0.5011,808,0.68699,769,0.59505,791,0.64729
ENSG00000178585,CTNNBIP1,112,1.59532,29,-0.5892,40,-0.1397,46,0.12942,34,-0.3704,30,-0.5789,40,-0.1172
ENSG00000162441,LZIC,112,1.98853,43,0.35055,28,-0.3729,25,-0.4897,29,-0.2815,26,-0.4486,21,-0.7720
ENSG00000130939,UBE4B,112,1.90357,27,-0.4359,24,-0.7877,15,-1.3422,47,0.48474,31,-0.2597,31,-0.2441
ENSG00000054523,KIF1B,112,-0.7847,161,-0.2289,194,0.08159,166,-0.1765,160,-0.2614,164,-0.2169,281,0.73208
ENSG00000142657,PGD,112,1.19954,39,-0.4663,28,-1.1747,95,0.92363,66,0.35894,47,-0.2060,54,0.02639
ENSG00000241563,CORT,112,-1.5932,94,-1.8456,55,-2.9877,3402,5.72750,55,-2.7462,100,-1.8475,15,-4.5715
ENSG00000160049,DFFA,112,1.87271,43,0.24580,27,-0.5687,31,-0.2336,22,-0.7855,42,0.24540,25,-0.6049
ENSG00000142655,PEX14,112,2.09163,12,-1.4602,15,-1.3548,41,0.37681,39,0.31535,25,-0.4280,34,0.05935
ENSG00000120948,TARDBP,112,1.04666,48,-0.2911,41,-0.6800,61,0.06184,61,0.08431,56,-0.0632,69,0.29472
ENSG00000116649,SRM,112,-0.0836,91,-0.3935,92,-0.4875,182,0.68867,131,0.17903,151,0.43000,108,-0.1490
ENSG00000171824,EXOSC10,112,2.33262,17,-0.7717,16,-1.0943,24,-0.3020,27,-0.1116,29,0.04247,22,-0.4089
ENSG00000198793,MTOR,112,1.54752,29,-0.6388,33,-0.5442,36,-0.2912,39,-0.1634,46,0.10765,43,-0.0149
ENSG00000116661,FBXO2,112,-0.9281,380,0.99320,237,0.30890,168,-0.3048,221,0.12673,147,-0.5569,162,-0.3897
ENSG00000132879,FBXO44,112,-0.4342,82,-0.9086,117,-0.4616,112,-0.4361,186,0.39417,189,0.42693,200,0.53154
ENSG00000116670,MAD2L2,112,2.36093,17,-0.7743,24,-0.3327,20,-0.5557,21,-0.5163,30,0.07082,12,-1.3597
ENSG00000011021,CLCN6,112,1.32607,22,-1.2393,37,-0.5572,76,0.68980,40,-0.3480,42,-0.2517,60,0.32148
ENSG00000116685,KIAA2013,112,1.72244,26,-0.6136,26,-0.7664,35,-0.1872,42,0.11414,40,0.03209,35,-0.2065
ENSG00000083444,PLOD1,112,2.26765,29,-0.0326,23,-0.5219,46,0.68466,13,-1.3163,15,-1.0582,26,-0.2145
ENSG00000116688,MFN2,112,0.68975,50,-0.5726,56,-0.5136,68,-0.1053,98,0.52925,63,-0.2367,84,0.24838
ENSG00000116691,MIIP,112,3.03919,17,-0.2596,10,-1.2841,1,-3.9391,20,-0.0569,6,-1.8071,23,0.17686
ENSG00000048707,VPS13D,112,1.76746,27,-0.5594,36,-0.1190,7,-2.4070,42,0.13598,29,-0.4398,34,-0.2216
ENSG00000162496,DHRS3,112,2.46667,42,0.72263,21,-0.4873,6,-2.2770,22,-0.3402,13,-1.1512,18,-0.6341
ENSG00000116731,PRDM2,112,1.11475,35,-0.7061,49,-0.2517,35,-0.7124,39,-0.5846,47,-0.2742,87,0.79243
ENSG00000189337,KAZN,112,0.98545,55,-0.1478,44,-0.6326,166,1.67570,46,-0.4542,27,-1.2756,66,0.15491
ENSG00000142634,EFHD2,112,-0.1256,156,0.40088,129,0.14121,270,1.30891,15,-3.1640,2,-6.0106,242,1.28594
ENSG00000132906,CASP9,112,3.33416,8,-1.2570,9,-1.2247,5,-1.7831,13,-0.5793,14,-0.4557,12,-0.6991
ENSG00000116138,DNAJC16,112,2.25124,15,-1.0191,17,-1.0528,48,0.75222,29,-0.0571,30,0.01169,14,-1.2012
ENSG00000197312,DDI2,112,2.89455,13,-0.7807,13,-0.9617,1,-4.0194,21,-0.1186,13,-0.7844,20,-0.1438
ENSG00000116786,PLEKHM2,112,0.70322,58,-0.3186,70,-0.0420,67,-0.1011,66,-0.1340,63,-0.2277,78,0.14886
ENSG00000065526,SPEN,112,2.25189,21,-0.5100,17,-1.0102,11,-1.4221,19,-0.7683,29,-0.0449,40,0.48963
ENSG00000116809,ZBTB17,112,3.17930,16,-0.3120,10,-1.2365,5,-2.0736,9,-1.2388,15,-0.3975,17,-0.2077
ENSG00000185519,FAM131C,112,2.65128,18,-0.5049,18,-0.5966,42,0.84567,19,-0.3827,16,-0.7172,3,-3.0458
ENSG00000037637,FBXO42,112,2.79808,4,-2.6001,11,-1.2862,20,-0.2106,11,-1.1348,23,0.02620,25,0.12545
ENSG00000055070,SZRD1,112,2.61715,44,0.89240,21,-0.3512,13,-1.0158,8,-1.7110,12,-1.1742,17,-0.6693
ENSG00000157191,NECAP2,112,3.41773,28,0.73120,9,-1.1422,9,-1.0244,8,-1.2460,7,-1.5094,8,-1.2895
ENSG00000219481,NBPF1,112,3.35436,20,0.14489,6,-1.8173,16,-0.1698,14,-0.4763,10,-0.9947,9,-1.1575
ENSG00000238142,BX284668.5,112,2.86974,21,-0.0792,19,-0.2979,12,-0.9687,12,-0.9875,15,-0.6324,7,-1.6994
ENSG00000159363,ATP13A2,112,-0.6253,68,-1.3736,149,-0.2378,161,-0.0668,272,0.86831,169,0.01579,181,0.12733
ENSG00000117118,SDHB,112,0.17798,97,-0.0427,84,-0.3360,85,-0.2383,122,0.35347,130,0.46550,80,-0.3687
ENSG00000117115,PADI2,112,2.61369,83,2.00762,24,-0.1053,1,-4.3075,5,-2.4413,6,-2.1834,7,-1.9887
ENSG00000179051,RCC2,112,2.95817,17,-0.3318,9,-1.5562,1,-4.4919,22,0.04009,19,-0.1783,16,-0.4998
ENSG00000074964,ARHGEF10L,112,3.11755,13,-0.6083,11,-1.0264,16,-0.3138,11,-0.9056,18,-0.1357,7,-1.6137
ENSG00000117154,IGSF21,112,0.39889,49,-0.8580,59,-0.7499,105,0.30233,101,0.26611,20,-2.2473,191,1.49305
ENSG00000159423,ALDH4A1,112,2.49272,29,0.11601,32,0.41515,7,-1.9877,4,-2.7489,8,-1.8422,22,-0.2753
ENSG00000127481,UBR4,112,3.06611,11,-0.8630,6,-2.1760,37,0.91624,16,-0.4185,17,-0.2837,9,-1.2719
ENSG00000127463,EMC1,112,2.11224,14,-1.2318,19,-1.0194,49,0.67102,27,-0.2606,33,0.02440,24,-0.4693
ENSG00000053372,MRTO4,112,1.83481,13,-1.5134,28,-0.5678,23,-0.7467,33,-0.1907,41,0.16056,38,0.04763
ENSG00000053371,AKR7A2,112,1.42927,66,0.54712,44,-0.0935,68,0.59885,38,-0.3375,27,-0.8539,25,-0.9715
ENSG00000077549,CAPZB,112,-0.9389,175,-0.2606,180,-0.2768,295,0.56755,244,0.28771,184,-0.1917,263,0.42335
ENSG00000173436,MICOS10,112,-1.4773,397,0.46076,335,0.25962,343,0.23058,344,0.25885,252,-0.2726,235,-0.3852
ENSG00000158747,NBL1,112,-0.7209,160,-0.1704,199,0.22562,229,0.38853,203,0.21743,60,-1.7263,251,0.59975
ENSG00000162545,CAMK2N1,112,-3.1572,510,-0.9224,794,-0.3219,452,-1.1035,1264,0.53675,2066,1.50878,601,-0.7216
ENSG00000090432,MUL1,112,2.29552,26,-0.1974,15,-1.1674,5,-2.5467,41,0.58804,17,-0.8688,30,0.03983
ENSG00000183114,FAM43B,112,1.60620,29,-0.5724,21,-1.2623,150,2.15706,9,-2.2911,1,-4.6453,76,1.05551
ENSG00000158828,PINK1,112,-1.9781,338,-0.3214,377,-0.2010,468,0.18539,604,0.65946,304,-0.5215,584,0.59838
ENSG00000244038,DDOST,112,1.91041,31,-0.2131,23,-0.7944,10,-1.8476,45,0.38791,32,-0.1594,31,-0.2130
ENSG00000117245,KIF17,112,2.48336,12,-1.1317,15,-1.0221,8,-1.7044,28,0.05996,10,-1.4963,39,0.64296
ENSG00000189410,SH2D5,112,2.39256,12,-1.2267,18,-0.8515,16,-0.7948,27,-0.0574,29,0.04415,20,-0.5397
ENSG00000127483,HP1BP3,112,0.08229,119,0.18117,97,-0.1808,95,-0.1671,106,0.00108,102,-0.0641,124,0.26958
ENSG00000075151,EIF4G3,112,-0.1948,75,-0.8039,84,-0.7852,123,-0.0416,146,0.24766,154,0.33841,200,0.81378
ENSG00000117298,ECE1,112,3.20848,25,0.41644,13,-0.6998,7,-1.5587,12,-0.7422,10,-1.0200,5,-2.0477
ENSG00000162551,ALPL,112,2.91214,18,-0.2771,28,0.57620,4,-2.3985,4,-2.3742,2,-3.4904,12,-0.9453
ENSG00000076864,RAP1GAP,112,-0.5259,87,-0.9014,115,-0.6073,204,0.40948,190,0.32960,140,-0.1997,260,0.90835
ENSG00000090686,USP48,112,1.84392,45,0.30610,20,-1.1192,40,0.11016,34,-0.1405,30,-0.3588,38,0.04768
ENSG00000070831,CDC42,112,-0.9842,166,-0.3833,172,-0.4300,167,-0.3710,353,0.90974,228,0.11909,237,0.18639
ENSG00000173372,C1QA,112,1.27808,128,1.52270,54,0.13686,58,0.19327,21,-1.4359,19,-1.5831,34,-0.6589
ENSG00000159189,C1QC,112,1.55107,73,0.83098,55,0.49916,37,-0.2407,11,-2.1091,21,-1.1568,30,-0.6001
ENSG00000173369,C1QB,112,0.87214,187,1.76459,76,0.35513,38,-0.7919,18,-2.0015,40,-0.7862,42,-0.7134
ENSG00000004487,KDM1A,112,1.39747,34,-0.4943,30,-0.8878,43,-0.1446,58,0.34999,46,-0.0579,50,0.10471
ENSG00000169641,LUZP1,112,1.78839,25,-0.6349,32,-0.3452,22,-0.8616,44,0.25037,28,-0.4891,32,-0.2826
ENSG00000125944,HNRNPR,112,0.44196,73,-0.2270,75,-0.2349,67,-0.3553,82,-0.0489,96,0.21688,95,0.19862
ENSG00000125945,ZNF436,112,2.90954,11,-1.0777,11,-1.2756,1,-4.5330,14,-0.6770,20,-0.1281,25,0.20777
ENSG00000117318,ID3,112,3.00045,114,3.04534,6,-2.0610,14,-0.6492,2,-3.3894,3,-2.6690,0,-7.8270
ENSG00000142676,RPL11,112,-1.7912,999,1.66978,412,0.24805,358,-0.0351,336,-0.1464,246,-0.6584,242,-0.6810
ENSG00000011007,ELOA,112,3.00428,18,-0.2274,10,-1.2886,9,-1.3147,10,-1.1326,14,-0.6460,23,0.12893
ENSG00000057757,PITHD1,112,-0.6016,84,-1.0243,152,-0.1696,171,0.05438,208,0.39860,187,0.20947,192,0.25868
ENSG00000011009,LYPLA2,112,1.34770,31,-0.6753,29,-1.0016,55,0.17499,66,0.51936,36,-0.5177,60,0.35224
ENSG00000117308,GALE,112,2.96620,4,-2.2671,11,-1.1579,23,0.08230,16,-0.4377,23,0.13177,8,-1.5898
ENSG00000117305,HMGCL,112,2.93333,28,0.39537,14,-0.7959,27,0.35669,15,-0.5535,6,-2.0238,8,-1.5359
ENSG00000179163,FUCA1,112,3.04973,5,-1.9051,7,-1.9055,20,-0.0645,20,-0.0806,14,-0.6210,18,-0.1878
ENSG00000189266,PNRC2,112,1.65264,40,-0.0476,26,-0.8712,41,-0.0209,37,-0.1845,36,-0.1967,46,0.18779
ENSG00000188529,SRSF10,112,1.27682,34,-0.6000,34,-0.7586,83,0.78157,45,-0.2083,48,-0.1013,55,0.12701
ENSG00000001460,STPG1,112,3.17752,5,-2.0152,5,-2.2604,14,-0.4767,14,-0.5273,19,-0.0452,19,-0.0804
ENSG00000001461,NIPAL3,112,1.13867,55,0.00121,41,-0.5662,48,-0.2019,45,-0.3250,35,-0.7221,88,0.82436
ENSG00000133226,SRRM1,112,1.43783,51,0.14686,38,-0.4145,18,-1.4477,38,-0.3221,47,0.03352,51,0.14909
ENSG00000169504,CLIC4,112,2.95643,96,2.61155,10,-1.3663,7,-1.7014,2,-3.1680,6,-1.9289,4,-2.4427
ENSG00000117614,SYF2,112,1.36995,71,0.61353,42,-0.2986,10,-2.2728,56,0.25192,53,0.15167,25,-1.0385
ENSG00000117616,RSRP1,112,1.74942,36,-0.1210,22,-1.0851,22,-0.8466,16,-1.4292,48,0.36876,61,0.78932
ENSG00000183726,TMEM50A,112,0.64824,64,-0.2272,47,-0.8883,84,0.19888,94,0.41944,95,0.43720,69,-0.1125
ENSG00000204178,MACO1,112,2.63161,12,-1.0950,18,-0.5777,14,-0.8799,14,-0.9455,20,-0.3246,22,-0.2070
ENSG00000117643,MAN1C1,112,1.87169,16,-1.1894,10,-2.1562,0,-5.8007,43,0.28774,81,1.48661,28,-0.4188
ENSG00000162430,SELENON,112,1.74881,45,0.23878,27,-0.7175,64,0.79042,14,-1.6010,21,-0.9834,54,0.56679
ENSG00000117640,MTFR1L,112,1.07584,53,-0.1317,49,-0.3020,50,-0.1976,69,0.31572,59,0.05715,38,-0.6539
ENSG00000117632,STMN1,112,-3.4594,962,-0.2736,912,-0.4574,1372,0.28221,2071,1.08050,872,-0.4567,1467,0.42991
ENSG00000158008,EXTL1,112,1.47716,42,-0.1020,37,-0.3906,23,-1.0523,26,-0.9029,38,-0.3123,68,0.72827
ENSG00000142684,ZNF593,112,1.66981,32,-0.3517,42,0.04291,14,-1.5386,35,-0.2350,28,-0.6023,39,-0.0840
ENSG00000142669,SH3BGRL3,112,-1.3471,354,0.41965,288,0.12753,372,0.49764,307,0.21336,124,-1.2595,338,0.37876
ENSG00000158062,UBXN11,112,2.19385,18,-0.7814,22,-0.6334,3,-3.2013,23,-0.4477,36,0.25429,30,-0.0405
ENSG00000117682,DHDDS,112,2.64708,18,-0.4698,15,-0.9764,3,-2.7865,25,0.05149,20,-0.3667,19,-0.3885
ENSG00000198830,HMGN2,112,0.05323,227,1.20895,97,-0.2106,160,0.62019,70,-0.7187,110,0.02677,78,-0.5263
ENSG00000117713,ARID1A,112,1.13419,47,-0.2420,34,-0.9018,41,-0.4398,51,-0.1207,65,0.27452,74,0.51267
ENSG00000204160,ZDHHC18,112,1.78187,18,-1.1358,23,-0.9870,85,1.28797,25,-0.6770,27,-0.5979,45,0.26341
ENSG00000142751,GPN2,112,2.91487,7,-1.5813,15,-0.7500,3,-2.6433,21,-0.0422,7,-1.6674,23,0.07334
ENSG00000090273,NUDC,112,-0.3302,121,-0.2062,131,-0.1184,160,0.22630,162,0.26935,139,0.01394,141,0.02706
ENSG00000253368,TRNP1,112,0.53575,30,-1.4615,65,-0.4016,76,-0.0794,113,0.61475,108,0.54002,57,-0.5402
ENSG00000090020,SLC9A1,112,2.42009,8,-1.8386,12,-1.4678,9,-1.5971,43,0.76885,21,-0.4144,26,-0.0774
ENSG00000142784,WDTC1,112,2.28011,36,0.29488,22,-0.5863,24,-0.3056,19,-0.6929,17,-0.8668,26,-0.2104
ENSG00000186501,TMEM222,112,0.68433,48,-0.6327,53,-0.6127,33,-1.1853,89,0.34310,81,0.18603,100,0.56141
ENSG00000158195,WASF2,112,2.40068,82,1.79482,21,-0.5307,30,0.12033,1,-4.2961,10,-1.6388,16,-0.9234
ENSG00000126705,AHDC1,112,1.37915,27,-0.8488,27,-1.0666,37,-0.4096,41,-0.2463,34,-0.5844,95,1.25422
ENSG00000126709,IFI6,112,0.68650,90,0.33733,71,-0.0515,117,0.75931,63,-0.2212,30,-1.4289,78,0.11538
ENSG00000117758,STX12,112,0.27103,91,-0.0545,73,-0.4977,131,0.52958,104,0.17099,53,-0.9364,141,0.72342
ENSG00000117751,PPP1R8,112,2.30577,21,-0.5077,21,-0.6385,39,0.46037,18,-0.8149,12,-1.4000,32,0.16940
ENSG00000117748,RPA2,112,1.20274,43,-0.3222,33,-0.8806,61,0.20932,64,0.32631,47,-0.1942,59,0.18677
ENSG00000126698,DNAJC8,112,-0.0039,102,-0.1398,91,-0.4093,128,0.20547,139,0.37233,99,-0.2039,137,0.34581
ENSG00000130770,ATP5IF1,112,-2.3522,411,-0.4145,460,-0.3121,646,0.29021,782,0.66613,709,0.48859,495,-0.1374
ENSG00000180098,TRNAU1AP,112,2.68434,18,-0.4685,16,-0.7406,23,-0.0878,14,-0.9202,16,-0.6838,19,-0.3846
ENSG00000120656,TAF12,112,2.94980,11,-1.0445,19,-0.2429,6,-1.8119,15,-0.5423,9,-1.3572,13,-0.7754
ENSG00000198492,YTHDF2,112,0.65568,52,-0.5513,41,-1.1142,55,-0.4649,105,0.61979,81,0.15797,104,0.59837
ENSG00000116350,SRSF4,112,1.46301,31,-0.5876,45,-0.0253,57,0.34438,40,-0.2187,28,-0.8002,39,-0.2659
ENSG00000116353,MECR,112,1.65515,30,-0.4933,33,-0.4508,36,-0.1850,34,-0.3129,28,-0.6207,51,0.35935
ENSG00000060656,PTPRU,112,2.43016,22,-0.2975,6,-2.5045,90,1.99629,1,-4.8617,0,-9.1728,53,1.22256
ENSG00000162511,LAPTM5,112,1.42464,95,1.13763,60,0.54098,61,0.40906,10,-2.3677,13,-1.9673,28,-0.8529
ENSG00000162512,SDC3,112,-0.9753,137,-0.6655,186,-0.2592,138,-0.6615,193,-0.1555,343,0.86705,274,0.45240
ENSG00000134644,PUM1,112,0.22234,60,-0.7378,60,-0.9110,95,-0.0271,97,0.01058,100,0.06223,178,1.11600
ENSG00000060688,SNRNP40,112,2.46893,21,-0.3769,12,-1.4964,20,-0.4474,23,-0.2398,25,-0.1359,27,0.01177
ENSG00000121766,ZCCHC17,112,-0.0454,87,-0.4258,89,-0.5057,138,0.28596,137,0.29783,111,-0.0642,154,0.50787
ENSG00000121769,FABP3,112,-0.4407,36,-2.1045,122,-0.4003,67,-1.2036,320,1.44427,229,0.76762,66,-1.2959
ENSG00000162517,PEF1,112,0.28577,68,-0.4917,81,-0.2847,46,-1.0814,142,0.75160,101,0.14699,87,-0.1042
ENSG00000084636,COL16A1,112,2.15450,44,0.53050,18,-1.0243,8,-1.9202,17,-0.9430,28,-0.1783,40,0.42543
ENSG00000121753,ADGRB2,112,-1.1615,74,-1.7609,211,-0.2601,129,-0.9403,318,0.49417,351,0.67422,310,0.45077
ENSG00000184007,PTP4A2,112,-0.4496,252,0.83324,126,-0.3490,139,-0.1163,158,0.09835,164,0.16346,147,-0.0314
ENSG00000121774,KHDRBS1,112,0.52522,68,-0.2458,56,-0.6990,58,-0.4888,104,0.45496,94,0.28150,92,0.23010
