"global_FDR10","global_FDR20","cell_type_FDR10","cell_type_FDR20","model","main_mod"
4,16,6,7,"apoe_i",TRUE
0,66,4,6,"apoe",TRUE
0,0,0,0,"carrier_i",TRUE
0,0,1,3,"carrier",TRUE
0,0,1,2,"e4e4_i",TRUE
0,0,1,1,"e4e4",TRUE
0,0,1,5,"apoe_kr",FALSE
0,0,0,0,"apoe_n0",FALSE
0,0,0,1,"carrier_kr",FALSE
0,1,2,2,"carrier_n0",FALSE
0,0,2,2,"carrier_n1",FALSE
0,0,2,3,"carrier_n2",FALSE
0,0,0,1,"carrier_n3",FALSE
0,0,2,4,"carrier_n4",FALSE
0,0,0,1,"carrier_sf_kr",FALSE
0,0,1,1,"carrier_sf",FALSE
0,0,0,0,"e4e4_kr",FALSE
0,0,0,0,"e4e4_n0",FALSE
