"cluster","type","scores","ncells","confident","type_short","type_rank","ct_fine"
"k15c04","Astrocytes",143186.59272434,22506,TRUE,"Astro",1,"Astro.1"
"k15c20","Astrocytes",872.630521914355,718,TRUE,"Astro",2,"Astro.2"
"k15c18","Astrocytes",1233.35094114563,540,TRUE,"Astro",3,"Astro.3"
"k15c22","Astrocytes",2248.29217741783,410,TRUE,"Astro",4,"Astro.4"
"k15c26","Astrocytes",1209.15452621555,200,TRUE,"Astro",5,"Astro.5"
"k15c28","Astrocytes",55.8596048181377,13,TRUE,"Astro",6,"Astro.6"
"k15c19","Endothelial cells",5071.51764931071,1739,TRUE,"Endo",1,"Endo.1"
"k15c08","Microglial cells",56645.7743853715,11384,TRUE,"Micro",1,"Micro.1"
"k15c03","Microglial cells",15507.0664454544,4057,TRUE,"Micro",2,"Micro.2"
"k15c09","Oligodendrocytes",201447.244086456,30123,TRUE,"Oligo",1,"Oligo.1"
"k15c10","Oligodendrocytes",79993.5413142568,19973,TRUE,"Oligo",2,"Oligo.2"
"k15c05","Oligodendrocytes",7599.86741531766,4719,TRUE,"Oligo",3,"Oligo.3"
"k15c17","Oligodendrocytes",1648.57887003196,292,TRUE,"Oligo",4,"Oligo.4"
"k15c13","Oligodendrocyte precursor cells",101311.388162797,13070,TRUE,"OPC",1,"OPC.1"
"k15c06","Glutamatergic neurons",69773.0940183912,14434,TRUE,"Excit",1,"Excit.01"
"k15c14","Glutamatergic neurons",11394.7725898772,2094,TRUE,"Excit",2,"Excit.02"
"k15c01","Glutamatergic neurons",3899.2813811245,817,TRUE,"Excit",3,"Excit.03"
"k15c15","Glutamatergic neurons",3218.61210063326,670,TRUE,"Excit",4,"Excit.04"
"k15c25","Glutamatergic neurons",1908.43216482527,362,TRUE,"Excit",5,"Excit.05"
"k15c24","Glutamatergic neurons",1560.88088306754,320,TRUE,"Excit",6,"Excit.06"
"k15c16","Glutamatergic neurons",1079.95066000271,207,TRUE,"Excit",7,"Excit.07"
"k15c23","Glutamatergic neurons",493.457982954497,115,TRUE,"Excit",8,"Excit.08"
"k15c11","Glutamatergic neurons",124.306617006527,86,TRUE,"Excit",9,"Excit.09"
"k15c27","Glutamatergic neurons",379.311754277185,76,TRUE,"Excit",10,"Excit.10"
"k15c21","Glutamatergic neurons",315.013427481856,60,TRUE,"Excit",11,"Excit.11"
"k15c02","GABAergic neurons",37849.6412989546,8653,TRUE,"Inhib",1,"Inhib.1"
"k15c07","GABAergic neurons",10010.4090395653,1602,TRUE,"Inhib",2,"Inhib.2"
"k15c12","GABAergic neurons",4222.34230881797,879,TRUE,"Inhib",3,"Inhib.3"
