"sample_id","spot_name","ManualAnnotation"
"Br1039","Br1039_cgkimnim-1","Off_tissue"
"Br1039","Br1039_cgkjjmdg-1","Off_tissue"
"Br1039","Br1039_cgldakep-1","Off_tissue"
"Br1039","Br1039_ejalocmk-1","Off_tissue"
"Br1039","Br1039_nfkmppga-1","Off_tissue"
"Br1039","Br1039_nfkpdfmd-1","Off_tissue"
"Br1039","Br1039_nfkpeedc-1","Off_tissue"
"Br1039","Br1039_nflaefnh-1","Off_tissue"
"Br1039","Br1039_nflbfffi-1","Off_tissue"
"Br1039","Br1039_nflcjjmn-1","Off_tissue"
"Br1039","Br1039_nflenmic-1","Off_tissue"
"Br1039","Br1039_nfljeima-1","Off_tissue"
"Br1039","Br1039_nfljlhnf-1","Off_tissue"
"Br1039","Br1039_nflklhdk-1","Off_tissue"
"Br1039","Br1039_nflkmdph-1","Off_tissue"
"Br1039","Br1039_nflobcna-1","Off_tissue"
"Br1039","Br1039_nfmbkgip-1","Off_tissue"
"Br1039","Br1039_nfmcbcan-1","Off_tissue"
"Br1039","Br1039_nfmcepch-1","Off_tissue"
"Br1039","Br1039_nfminiob-1","Off_tissue"
"Br1039","Br1039_nfmjnefe-1","Off_tissue"
"Br1039","Br1039_nfmoakco-1","Off_tissue"
"Br1039","Br1039_nfmodejm-1","Off_tissue"
"Br1039","Br1039_nfmpnalh-1","Off_tissue"
"Br1039","Br1039_nibhejno-1","Off_tissue"
"Br1039","Br1039_nkmhohdl-1","Off_tissue"
"Br1039","Br1039_nkmilhha-1","Off_tissue"
"Br1039","Br1039_nkmjhmch-1","Off_tissue"
"Br1039","Br1039_nkmkfgak-1","Off_tissue"
"Br1039","Br1039_nkmkipod-1","Off_tissue"
"Br1039","Br1039_nkmkkkfc-1","Off_tissue"
"Br1039","Br1039_nkmlpchb-1","Off_tissue"
"Br1039","Br1039_nkmmbjce-1","Off_tissue"
"Br1039","Br1039_nkmpennp-1","Off_tissue"
"Br1039","Br1039_nkndbgpf-1","Off_tissue"
"Br1039","Br1039_nknidoch-1","Off_tissue"
"Br1039","Br1039_nknmcocd-1","Off_tissue"
"Br1039","Br1039_nknnalmd-1","Off_tissue"
"Br1039","Br1039_nlhfilha-1","Off_tissue"
"Br1039","Br1039_nlhhjnnm-1","Off_tissue"
"Br1039","Br1039_nlhlelhi-1","Off_tissue"
"Br1039","Br1039_nligifkn-1","Off_tissue"
"Br1039","Br1039_nlikkbim-1","Off_tissue"
"Br1039","Br1039_nlikplee-1","Off_tissue"
"Br1039","Br1039_nlilahfi-1","Off_tissue"
"Br1039","Br1039_nliloenc-1","Off_tissue"
"Br1039","Br1039_nljaddek-1","Off_tissue"
"Br1039","Br1039_nljcigoi-1","Off_tissue"
"Br1039","Br1039_nljdcibh-1","Off_tissue"
"Br1039","Br1039_nljdkgki-1","Off_tissue"
"Br1039","Br1039_nljepdac-1","Off_tissue"
"Br1039","Br1039_nljgkdia-1","Off_tissue"
"Br1039","Br1039_nlkielmj-1","Off_tissue"
"Br1039","Br1039_nlklegdo-1","Off_tissue"
"Br1039","Br1039_nlklnfao-1","Off_tissue"
"Br1039","Br1039_nllfohkk-1","Off_tissue"
"Br1039","Br1039_nlljebfb-1","Off_tissue"
"Br1039","Br1039_nllmgdmk-1","Off_tissue"
"Br1039","Br1039_nlmajdlo-1","Off_tissue"
"Br1039","Br1039_ociddofk-1","Off_tissue"
"Br1039","Br1039_ocigkgkh-1","Off_tissue"
"Br1039","Br1039_oiekocdl-1","Off_tissue"
"Br1039","Br1039_oielmngg-1","Off_tissue"
"Br1039","Br1039_oiglgnoe-1","Off_tissue"
