Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000175756,AURKAIP1,116,-0.7101,155,-0.2595,201,0.14353,209,0.21085,219,0.40236,126,-0.5791,135,-0.4725,191,0.07064
ENSG00000221978,CCNL2,53,0.48033,36,-0.1558,23,-0.8001,28,-0.5320,51,0.57563,52,0.45068,20,-1.0468,29,-0.5041
ENSG00000242485,MRPL20,178,-0.2295,212,0.04173,195,-0.0903,241,0.24727,201,-0.0497,183,-0.1839,200,-0.0494,230,0.19071
ENSG00000235098,ANKRD65,17,-0.2656,23,0.18822,34,0.77302,27,0.41731,20,-0.0373,15,-0.4600,20,-0.0611,15,-0.5070
ENSG00000179403,VWA1,31,0.27056,58,1.33100,5,-2.2620,10,-1.3793,12,-1.3931,60,1.38282,38,0.61493,29,0.21968
ENSG00000197785,ATAD3A,12,-0.2210,9,-0.6464,7,-0.9828,15,0.04330,24,1.39352,11,-0.3772,4,-1.7113,7,-1.1450
ENSG00000205090,TMEM240,53,0.53362,39,0.05815,42,0.16947,48,0.39245,41,0.17817,24,-0.6664,31,-0.2945,26,-0.6452
ENSG00000160075,SSU72,131,-0.2774,132,-0.2694,199,0.38485,195,0.35256,180,0.30704,130,-0.2888,95,-0.7648,139,-0.2059
ENSG00000228594,FNDC10,58,1.17819,51,0.97542,15,-0.9013,25,-0.1513,24,-0.2785,21,-0.4223,22,-0.3532,22,-0.3726
ENSG00000272106,AL691432.2,23,-0.1835,20,-0.3475,48,0.99269,20,-0.3472,31,0.44608,16,-0.6765,16,-0.7327,20,-0.4403
ENSG00000197530,MIB2,28,0.08249,25,-0.0754,27,0.05762,37,0.52082,34,0.56594,9,-1.5062,23,-0.1992,16,-0.8285
ENSG00000248333,CDK11B,16,0.28019,19,0.51437,8,-0.7221,10,-0.4181,15,0.24497,19,0.54018,13,-0.1089,8,-0.7982
ENSG00000189339,SLC35E2B,28,0.85903,24,0.59132,10,-0.6891,19,0.22553,14,-0.2914,18,0.10274,12,-0.4348,14,-0.2202
ENSG00000008128,CDK11A,24,1.39801,14,0.47623,9,-0.2268,4,-1.2249,8,-0.4516,15,0.61309,10,0.00169,7,-0.6692
ENSG00000215790,SLC35E2A,30,0.58403,21,-0.0198,21,-0.0072,28,0.43875,19,-0.2226,17,-0.3212,20,-0.0533,20,-0.1052
ENSG00000008130,NADK,25,0.14087,20,-0.2169,37,0.78671,22,-0.0585,24,0.13937,23,0.04542,11,-1.0542,18,-0.3253
ENSG00000078369,GNB1,428,0.07944,312,-0.4122,463,0.20319,519,0.38737,435,0.14975,333,-0.3098,290,-0.5251,398,-0.0398
ENSG00000187730,GABRD,83,-0.7781,74,-0.9386,136,-0.0098,190,0.51430,226,1.27565,43,-1.7562,36,-2.0262,91,-0.6799
ENSG00000067606,PRKCZ,285,0.67799,194,0.06125,179,-0.0665,207,0.15741,202,0.17159,140,-0.4488,135,-0.5093,148,-0.3988
ENSG00000162585,FAAP20,42,0.06353,80,1.12013,19,-1.1142,40,-0.0082,25,-0.9223,57,0.55981,45,0.18433,49,0.36206
ENSG00000157933,SKI,33,0.04273,23,-0.4608,32,0.00965,42,0.42754,31,-0.0646,35,0.15298,34,0.09882,30,-0.1174
ENSG00000157916,RER1,46,-0.4340,59,-0.0437,42,-0.5517,75,0.34943,72,0.40688,60,-0.0080,35,-0.8191,59,-0.0367
ENSG00000157911,PEX10,15,-0.5058,16,-0.4403,23,0.12692,34,0.70087,21,-0.0423,21,-0.0198,24,0.18687,20,-0.1237
ENSG00000149527,PLCH2,12,-0.1202,19,0.60213,2,-2.4484,22,0.83028,16,0.49897,8,-0.6209,2,-2.3470,12,-0.0853
ENSG00000157881,PANK4,16,-0.0460,15,-0.0748,27,0.80825,9,-0.8387,19,0.39911,10,-0.7561,11,-0.6350,15,-0.1784
ENSG00000197921,HES5,11,-0.3460,36,1.52252,7,-1.0134,19,0.45162,6,-1.5484,3,-2.0413,17,0.25409,26,1.14793
ENSG00000157870,PRXL2B,88,0.36538,46,-0.6381,66,-0.1023,79,0.19708,88,0.52031,57,-0.3235,45,-0.6786,54,-0.4408
ENSG00000177133,PRDM16-DT,7,-1.0904,14,0.01459,10,-0.5016,11,-0.4033,3,-2.3334,11,-0.3141,22,0.72205,40,2.09934
ENSG00000158109,TPRG1L,232,0.61813,134,-0.2571,197,0.35195,122,-0.3992,193,0.46239,107,-0.5969,90,-0.8553,119,-0.4727
ENSG00000116213,WRAP73,11,-0.0164,9,-0.3272,16,0.57586,10,-0.0881,15,0.74278,8,-0.3970,4,-1.2839,6,-0.9177
ENSG00000130764,LRRC47,81,0.22041,88,0.35009,59,-0.2715,100,0.55348,82,0.32875,63,-0.1700,36,-1.0297,46,-0.7016
ENSG00000116198,CEP104,28,1.32840,17,0.51930,12,-0.0332,6,-0.9911,8,-0.7349,14,0.16252,19,0.65279,9,-0.4839
ENSG00000198912,C1orf174,21,1.09900,11,0.04784,14,0.44979,14,0.50474,9,-0.2403,11,0.10773,11,0.06610,3,-1.8407
ENSG00000196581,AJAP1,48,0.08763,29,-0.6918,55,0.30861,55,0.30434,63,0.78399,20,-1.2486,14,-1.7641,35,-0.4085
ENSG00000069424,KCNAB2,189,-0.0868,114,-0.8617,262,0.42669,198,-0.0138,258,0.59437,103,-1.0224,103,-1.0183,199,-0.0063
ENSG00000116254,CHD5,258,1.24465,121,0.00264,87,-0.5129,145,0.28382,112,-0.1548,69,-0.8614,101,-0.2725,110,-0.1560
ENSG00000116251,RPL22,307,-0.7661,456,-0.1588,452,-0.1729,320,-0.7021,445,-0.2626,915,0.96972,597,0.26707,613,0.34443
ENSG00000116237,ICMT,31,-0.1228,21,-0.6985,41,0.31548,41,0.30899,41,0.44516,28,-0.2535,19,-0.8425,29,-0.2623
ENSG00000158292,GPR153,12,-0.1909,10,-0.4835,16,0.26800,17,0.38575,17,0.51848,12,-0.1568,10,-0.4137,8,-0.7888
ENSG00000097021,ACOT7,360,0.31256,197,-0.6254,280,-0.0856,413,0.53633,415,0.81676,145,-1.0891,116,-1.4257,187,-0.7617
ENSG00000171680,PLEKHG5,28,0.09933,11,-1.3103,37,0.56892,39,0.65548,33,0.54782,13,-1.0685,10,-1.3443,21,-0.3774
ENSG00000162408,NOL9,34,0.40995,30,0.23360,21,-0.3462,19,-0.5150,24,-0.2164,45,0.87472,17,-0.6796,27,0.05123
ENSG00000162413,KLHL21,13,-0.9298,31,0.39525,20,-0.3023,20,-0.3219,28,0.31518,31,0.38053,25,0.01066,20,-0.3214
ENSG00000116273,PHF13,16,0.12477,17,0.19272,13,-0.1760,17,0.18735,17,0.18689,15,0.00819,11,-0.5399,13,-0.2721
ENSG00000041988,THAP3,18,-0.0814,27,0.50245,24,0.32521,29,0.62286,20,0.00527,16,-0.2546,8,-1.3514,17,-0.2686
ENSG00000007923,DNAJC11,35,0.54160,19,-0.3899,25,-0.0118,23,-0.1145,28,0.26484,12,-1.1336,21,-0.2728,26,0.06506
ENSG00000171735,CAMTA1,241,0.85810,250,0.91585,147,0.05168,139,-0.0336,104,-0.6295,137,-0.0528,145,0.03587,114,-0.3657
ENSG00000049245,VAMP3,17,-0.4785,23,0.02505,16,-0.5779,14,-0.7835,14,-0.9848,65,1.75771,29,0.35451,28,0.37155
ENSG00000049246,PER3,23,0.05930,20,-0.1722,20,-0.1713,16,-0.4603,23,0.08714,31,0.52755,15,-0.6115,24,0.16569
ENSG00000116288,PARK7,218,-0.8374,384,0.03385,402,0.10505,395,0.07511,397,0.11686,337,-0.1746,337,-0.1738,427,0.22333
ENSG00000116285,ERRFI1,21,-0.0026,35,0.84636,27,0.43643,11,-0.9230,21,0.00761,29,0.51669,16,-0.3958,13,-0.7422
ENSG00000162426,SLC45A1,38,0.71573,20,-0.3143,25,0.03871,29,0.29913,32,0.63860,10,-1.3492,8,-1.6739,17,-0.6065
ENSG00000142599,RERE,80,-0.2612,142,0.65864,117,0.34337,99,0.08373,88,-0.1494,100,0.09008,72,-0.4194,85,-0.1792
ENSG00000074800,ENO1,616,-0.1171,520,-0.3788,868,0.42870,530,-0.3498,828,0.51024,519,-0.3827,520,-0.3790,538,-0.3546
ENSG00000142583,SLC2A5,8,-0.3181,12,0.31872,7,-0.4473,12,0.41025,5,-1.2045,16,0.85147,18,1.01706,11,0.18578
ENSG00000171612,SLC25A33,28,-0.2723,58,0.85785,29,-0.2261,30,-0.1660,22,-0.8456,49,0.58720,45,0.45315,39,0.25770
ENSG00000188807,TMEM201,22,1.27508,23,1.34475,7,-0.5363,11,0.12847,7,-0.7397,4,-1.4321,6,-0.8534,10,0.05243
ENSG00000171603,CLSTN1,783,0.34556,451,-0.5180,560,-0.1837,807,0.39419,885,0.81685,380,-0.7796,289,-1.1942,374,-0.8622
ENSG00000178585,CTNNBIP1,46,1.05082,52,1.25311,15,-0.7375,18,-0.4314,14,-1.0460,18,-0.4565,30,0.34490,27,0.21098
ENSG00000162441,LZIC,20,-0.3705,35,0.45866,24,-0.1446,32,0.31478,22,-0.3167,26,0.02131,37,0.55506,24,-0.1036
ENSG00000130939,UBE4B,50,0.68386,34,0.05773,27,-0.2685,24,-0.4659,39,0.41202,34,0.08245,24,-0.4755,20,-0.7614
ENSG00000054523,KIF1B,299,0.55192,275,0.41704,160,-0.4309,211,-0.0074,190,-0.2242,231,0.14162,243,0.22108,179,-0.2808
ENSG00000142657,PGD,46,0.33583,60,0.76897,19,-1.0059,31,-0.2493,34,-0.1871,52,0.54650,28,-0.4152,36,-0.0448
ENSG00000175279,CENPS,9,-0.4748,18,0.56910,13,0.05682,6,-0.9877,16,0.55669,5,-1.2420,4,-1.5404,15,0.30781
ENSG00000241563,CORT,84,-0.0530,760,4.85247,6,-3.7661,12,-2.9186,14,-3.1368,43,-1.0655,36,-1.3344,24,-2.0371
ENSG00000160049,DFFA,30,0.04813,42,0.55706,27,-0.1231,15,-0.9957,26,-0.2258,57,1.05896,23,-0.3579,27,-0.1750
ENSG00000142655,PEX14,26,0.12762,34,0.56591,22,-0.1453,13,-0.8733,29,0.41180,26,0.14261,14,-0.8440,18,-0.4340
ENSG00000120948,TARDBP,48,-0.2858,62,0.10293,51,-0.2034,78,0.46084,66,0.29658,66,0.19011,39,-0.6145,44,-0.4619
ENSG00000116649,SRM,61,-0.6601,90,-0.0674,78,-0.2931,92,-0.0307,130,0.77310,74,-0.3754,53,-0.8690,80,-0.2812
ENSG00000171824,EXOSC10,14,-0.4568,31,0.83872,14,-0.4363,21,0.21347,25,0.69477,11,-0.7419,14,-0.4377,8,-1.2419
ENSG00000198793,MTOR,38,0.06677,29,-0.3234,36,-0.0011,48,0.43036,43,0.37793,26,-0.4872,13,-1.4835,36,0.00028
ENSG00000116661,FBXO2,183,-0.4267,217,-0.1624,156,-0.6645,271,0.18890,249,0.07638,258,0.10969,233,-0.0512,286,0.30564
ENSG00000132879,FBXO44,159,0.21478,81,-0.8200,171,0.33792,144,0.06518,192,0.78380,112,-0.3314,61,-1.2410,82,-0.8696
ENSG00000116670,MAD2L2,11,-1.1540,18,-0.4854,35,0.59775,24,0.01737,34,0.80599,10,-1.2717,15,-0.7381,20,-0.2948
ENSG00000177674,AGTRAP,5,-0.8157,16,0.75410,7,-0.3772,5,-1.0621,4,-1.6118,32,1.99812,15,0.64685,10,0.12646
ENSG00000177000,MTHFR,33,1.63510,18,0.58438,10,-0.3408,11,-0.0976,9,-0.6610,9,-0.4745,15,0.34997,8,-0.7080
ENSG00000011021,CLCN6,78,0.94293,67,0.68708,27,-0.7317,44,0.00182,51,0.35225,27,-0.7428,30,-0.5557,23,-1.0363
ENSG00000116685,KIAA2013,32,0.19629,37,0.43077,20,-0.5097,25,-0.2094,34,0.42176,33,0.23984,20,-0.5084,18,-0.7625
ENSG00000083444,PLOD1,17,0.24864,19,0.44169,9,-0.7088,11,-0.3793,15,0.06346,27,0.97588,13,-0.1271,9,-0.8021
ENSG00000116688,MFN2,93,0.26133,96,0.31349,82,0.06901,102,0.41813,88,0.24620,53,-0.6108,44,-0.8737,61,-0.4315
ENSG00000116691,MIIP,16,0.15909,10,-0.4668,11,-0.4469,14,-0.0694,19,0.63262,14,0.00866,8,-0.8656,12,-0.3468
ENSG00000028137,TNFRSF1B,5,-2.3796,16,-0.7677,18,-0.6034,6,-2.3089,6,-2.6806,185,3.77579,37,0.45584,20,-0.5544
ENSG00000048707,VPS13D,71,0.82583,53,0.35289,25,-0.8003,37,-0.2304,46,0.19824,37,-0.2271,23,-0.9494,39,-0.1346
ENSG00000162496,DHRS3,23,0.53557,26,0.77673,8,-0.9718,12,-0.4618,8,-1.2487,32,1.07324,25,0.66309,18,0.15716
ENSG00000116731,PRDM2,106,0.51882,44,-0.8447,91,0.26807,81,0.09271,90,0.37250,60,-0.3830,89,0.23836,43,-0.9373
ENSG00000189337,KAZN,76,1.38004,87,1.62373,12,-1.5162,22,-0.6166,23,-0.6822,43,0.43807,18,-0.9191,21,-0.6952
ENSG00000142634,EFHD2,288,2.22403,210,1.61408,13,-2.6376,40,-1.0641,31,-1.7181,109,0.49366,70,-0.2179,53,-0.6910
ENSG00000116138,DNAJC16,30,0.64608,27,0.48439,25,0.32293,26,0.41658,24,0.35970,10,-1.0239,10,-1.0094,9,-1.2927
ENSG00000197312,DDI2,35,0.82243,20,-0.0429,12,-0.7903,20,-0.0745,27,0.55822,16,-0.3608,16,-0.4319,12,-0.8848
ENSG00000116786,PLEKHM2,48,-0.0297,50,0.03459,52,0.08935,49,-0.0197,46,-0.1477,45,-0.1519,52,0.09910,55,0.20385
ENSG00000065526,SPEN,42,0.55536,42,0.58463,22,-0.4232,12,-1.3084,24,-0.3947,51,0.89942,47,0.74286,19,-0.6838
ENSG00000116809,ZBTB17,11,-0.2070,11,-0.1649,10,-0.3080,8,-0.6978,16,0.52047,13,0.12062,13,0.04463,10,-0.3311
ENSG00000185519,FAM131C,18,0.34318,49,2.08895,8,-0.8322,12,-0.2820,6,-1.4840,10,-0.5535,10,-0.4758,20,0.56430
ENSG00000037637,FBXO42,33,0.92300,14,-0.3771,12,-0.6004,33,0.90167,22,0.36224,10,-0.9357,9,-1.1312,12,-0.7041
ENSG00000055070,SZRD1,11,-0.9087,30,0.64676,18,-0.1753,16,-0.3465,15,-0.5401,25,0.33023,33,0.81476,23,0.24565
ENSG00000157191,NECAP2,10,-0.3044,33,1.60528,10,-0.4000,4,-1.4859,8,-0.8189,19,0.67938,11,-0.2016,15,0.30111
ENSG00000058453,CROCC,19,1.17907,12,0.50067,8,-0.2417,7,-0.4550,11,0.49123,1,-3.1529,9,-0.0774,4,-1.2104
ENSG00000159363,ATP13A2,147,0.57964,152,0.64068,51,-1.0502,146,0.56704,114,0.24411,54,-0.9852,54,-0.9771,83,-0.3513
ENSG00000117118,SDHB,60,-0.5998,103,0.24297,110,0.34995,75,-0.2625,106,0.41372,76,-0.2372,57,-0.6680,78,-0.2206
ENSG00000117115,PADI2,25,-0.6192,37,-0.0128,27,-0.5059,21,-0.9104,17,-1.4988,99,1.61011,74,1.10791,51,0.52746
ENSG00000179051,RCC2,14,0.28831,18,0.66465,11,-0.1038,15,0.36874,9,-0.4827,6,-0.8862,10,-0.2342,14,0.40117
ENSG00000074964,ARHGEF10L,10,0.25221,9,0.08163,10,0.22733,7,-0.3166,5,-0.7571,6,-0.4459,14,0.81758,11,0.50748
ENSG00000117154,IGSF21,92,0.81801,73,0.44258,39,-0.5260,65,0.27076,62,0.26776,35,-0.6735,43,-0.3906,33,-0.8617
ENSG00000159423,ALDH4A1,10,-1.2780,22,-0.0791,14,-0.7815,30,0.43337,20,-0.3225,14,-0.7411,47,1.15546,30,0.49138
ENSG00000169991,IFFO2,16,0.88968,10,0.10659,13,0.51781,5,-0.8651,6,-0.6956,22,1.37632,10,0.15123,4,-1.0979
ENSG00000127463,EMC1,40,0.70747,32,0.31597,25,-0.0642,17,-0.5934,30,0.35380,23,-0.1650,16,-0.7433,18,-0.6095
ENSG00000053372,MRTO4,65,0.66424,28,-0.6336,33,-0.3943,48,0.15158,55,0.54447,37,-0.2429,25,-0.8300,31,-0.5441
ENSG00000053371,AKR7A2,35,-0.4944,58,0.26987,48,-0.0155,43,-0.2149,48,-0.0518,48,-0.0148,47,-0.0737,58,0.30377
ENSG00000077549,CAPZB,209,-0.1284,173,-0.4179,203,-0.1732,206,-0.1467,286,0.53790,218,-0.0620,157,-0.5665,205,-0.1752
ENSG00000173436,MICOS10,202,-0.6863,292,-0.1144,333,0.08934,244,-0.3966,304,-0.0720,272,-0.2278,309,-0.0266,453,0.65872
ENSG00000158747,NBL1,268,0.72025,191,0.17346,136,-0.3593,165,-0.0618,168,-0.0371,162,-0.0890,157,-0.1371,152,-0.2063
ENSG00000169914,OTUD3,28,0.52751,15,-0.4207,31,0.70880,23,0.24009,21,0.14267,7,-1.5360,11,-0.9181,19,-0.0461
ENSG00000162545,CAMK2N1,731,-1.2700,781,-1.1705,2761,0.80559,1817,0.12619,2269,0.71458,740,-1.2512,899,-0.9585,1664,-0.0141
ENSG00000090432,MUL1,34,0.74003,24,0.19548,15,-0.5769,28,0.43894,22,0.04559,20,-0.0958,15,-0.4992,16,-0.4525
ENSG00000183114,FAM43B,24,1.62618,41,2.70146,7,-0.2829,5,-0.8125,2,-2.4917,7,-0.2715,6,-0.6519,4,-1.1218
ENSG00000158828,PINK1,381,0.31190,310,-0.0131,286,-0.1404,363,0.23513,321,0.05224,295,-0.0919,253,-0.3321,292,-0.1167
ENSG00000244038,DDOST,19,-0.2470,21,-0.1492,19,-0.2809,27,0.24151,30,0.67804,19,-0.2420,13,-0.7902,16,-0.5434
ENSG00000117245,KIF17,36,1.31680,19,0.22313,2,-2.6870,19,0.26003,21,0.61826,4,-2.1344,7,-1.1878,11,-0.6302
ENSG00000189410,SH2D5,38,0.10678,22,-0.7536,43,0.31698,38,0.10214,51,0.84667,20,-0.8832,18,-1.0001,22,-0.7673
ENSG00000127483,HP1BP3,206,0.52128,192,0.40141,133,-0.1717,191,0.39563,136,-0.1841,186,0.35057,116,-0.3816,108,-0.5363
ENSG00000075151,EIF4G3,131,0.19095,110,-0.0828,119,0.04566,140,0.29913,135,0.34361,92,-0.3674,61,-0.9756,99,-0.2690
ENSG00000117298,ECE1,5,-1.7951,16,0.02031,9,-0.9121,18,0.21188,9,-1.0572,75,2.79181,12,-0.4716,10,-0.7370
ENSG00000076864,RAP1GAP,214,0.84987,86,-0.5995,95,-0.4475,173,0.49535,176,0.78228,67,-0.9731,57,-1.2070,62,-1.1621
ENSG00000090686,USP48,49,0.40664,50,0.44244,32,-0.2292,26,-0.5492,39,0.07856,52,0.51093,26,-0.5842,30,-0.3623
ENSG00000070831,CDC42,284,0.44798,293,0.49892,167,-0.3892,197,-0.1319,235,0.20290,256,0.28027,132,-0.7470,152,-0.5770
ENSG00000173372,C1QA,11,-2.1951,63,0.37588,35,-0.5308,11,-2.2224,10,-2.7087,273,3.20119,58,0.24146,52,0.06734
ENSG00000159189,C1QC,16,-1.5320,38,-0.2959,58,0.38229,12,-2.0076,13,-2.1713,228,2.93396,64,0.52067,41,-0.2112
ENSG00000173369,C1QB,18,-2.1937,82,0.03435,80,0.01294,20,-2.0329,28,-1.8761,341,2.59701,123,0.69451,89,0.19801
ENSG00000004487,KDM1A,37,-0.3905,62,0.40373,68,0.55862,58,0.30333,49,0.07600,42,-0.1979,25,-1.0085,42,-0.2144
ENSG00000169641,LUZP1,46,0.55025,45,0.51863,29,-0.1882,32,0.00486,37,0.33330,10,-1.7202,29,-0.1436,23,-0.5465
ENSG00000125944,HNRNPR,106,0.08352,140,0.53011,98,-0.0411,108,0.12152,113,0.27056,90,-0.1629,54,-0.9449,77,-0.4398
ENSG00000125945,ZNF436,28,0.01075,25,-0.1286,37,0.45851,37,0.47414,41,0.98643,6,-2.2119,9,-1.7072,12,-1.3624
ENSG00000204219,TCEA3,13,0.37084,17,0.79687,3,-1.6912,5,-1.1813,3,-1.8339,39,2.28624,10,-0.0413,11,0.14520
ENSG00000117318,ID3,2,-3.3536,11,-1.1296,3,-2.9330,1,-3.8182,2,-3.5816,216,4.92931,28,0.23098,9,-1.6001
ENSG00000142676,RPL11,209,-0.9366,396,0.04866,384,-0.0035,362,-0.0938,251,-0.8474,999,1.60378,467,0.30963,396,0.05327
ENSG00000011007,ELOA,27,0.78709,29,0.94492,6,-1.3931,16,-0.0366,17,0.12817,12,-0.4003,9,-0.8913,13,-0.3446
ENSG00000057757,PITHD1,214,0.32675,211,0.30780,159,-0.1383,256,0.62205,202,0.33256,138,-0.3566,91,-0.9995,106,-0.8268
ENSG00000011009,LYPLA2,32,-0.3515,22,-0.9037,39,-0.0421,63,0.69861,59,0.89211,33,-0.3351,10,-2.0874,26,-0.7243
ENSG00000117308,GALE,5,-1.6536,21,0.34779,19,0.22209,15,-0.1572,28,1.28599,4,-2.0968,12,-0.5235,6,-1.4711
ENSG00000117305,HMGCL,11,-0.5146,16,0.11027,13,-0.2559,13,-0.2754,15,-0.0707,8,-1.0318,21,0.47474,22,0.60260
ENSG00000179163,FUCA1,22,0.83545,6,-0.9994,10,-0.3964,15,0.29219,16,0.48653,14,0.14655,6,-0.9939,8,-0.7676
ENSG00000189266,PNRC2,52,0.07896,61,0.31204,56,0.18746,48,-0.0673,41,-0.4034,86,0.87492,40,-0.3402,46,-0.1457
ENSG00000188529,SRSF10,49,0.03207,56,0.23456,45,-0.1120,40,-0.2886,57,0.39486,46,-0.0703,45,-0.0980,34,-0.5960
ENSG00000001461,NIPAL3,99,1.12579,113,1.35755,29,-0.8097,57,0.21289,39,-0.4818,47,-0.0692,43,-0.2083,25,-1.1142
ENSG00000133226,SRRM1,88,0.42907,83,0.33284,51,-0.4054,61,-0.1471,55,-0.3907,95,0.56079,106,0.73217,49,-0.5174
ENSG00000169504,CLIC4,17,-0.9169,43,0.50678,1,-4.2541,3,-3.1951,9,-2.2129,205,3.67358,51,0.76639,10,-1.7321
ENSG00000117614,SYF2,54,-0.3776,77,0.19191,75,0.13634,59,-0.2286,75,0.19476,95,0.52416,61,-0.1797,51,-0.5014
ENSG00000117616,RSRP1,39,0.22045,28,-0.3062,101,1.84354,29,-0.2608,34,0.00317,24,-0.5562,17,-1.0810,17,-1.0883
ENSG00000183726,TMEM50A,46,-0.8396,82,0.04092,102,0.38970,76,-0.0777,94,0.36865,108,0.47571,55,-0.5776,57,-0.5740
ENSG00000204178,MACO1,32,0.19008,34,0.31642,28,0.02164,34,0.33184,25,-0.2170,54,1.08078,13,-1.1783,19,-0.6009
ENSG00000117643,MAN1C1,19,-1.0637,10,-2.0098,66,0.84527,63,0.76228,59,1.03542,10,-2.0036,9,-2.1957,27,-0.6293
ENSG00000162430,SELENON,23,-0.3810,39,0.43248,34,0.24622,22,-0.4562,28,-0.0882,45,0.65643,29,-0.0024,24,-0.3261
ENSG00000117640,MTFR1L,59,-0.0439,84,0.52007,60,-0.0193,49,-0.3323,64,0.10338,85,0.54687,34,-0.8939,51,-0.2891
ENSG00000117632,STMN1,1400,-0.0627,1598,0.14580,503,-1.6183,1408,-0.0542,2059,0.83098,967,-0.6346,777,-0.9668,1301,-0.1944
ENSG00000158008,EXTL1,40,0.15876,26,-0.5347,43,0.27119,47,0.39971,44,0.42799,13,-1.5560,27,-0.4509,32,-0.1991
ENSG00000142684,ZNF593,39,0.05869,21,-0.8973,43,0.19990,44,0.26125,36,-0.0831,37,-0.0099,34,-0.1603,44,0.28085
ENSG00000142669,SH3BGRL3,289,0.29876,268,0.18211,246,0.04594,186,-0.3939,241,0.01392,328,0.50496,188,-0.3748,201,-0.2951
ENSG00000158062,UBXN11,13,-0.6974,8,-1.5204,17,-0.3910,25,0.23281,31,0.90343,15,-0.4875,10,-1.1684,22,0.05278
ENSG00000117682,DHDDS,26,0.68926,21,0.32403,14,-0.2646,17,0.00867,17,-0.0532,16,-0.0875,8,-1.0715,17,0.03813
ENSG00000198830,HMGN2,77,-0.7601,206,0.79741,120,-0.0742,85,-0.5941,109,-0.2928,211,0.83763,118,-0.0991,127,0.01891
ENSG00000117713,ARID1A,82,0.51352,63,0.08916,58,-0.0562,89,0.63154,58,-0.0731,75,0.35004,35,-0.8181,42,-0.5792
ENSG00000204160,ZDHHC18,29,0.52034,23,0.16120,20,-0.0834,32,0.65692,24,0.26133,11,-0.9617,8,-1.3563,17,-0.3654
ENSG00000142751,GPN2,15,-0.0397,15,-0.0727,14,-0.1392,27,0.83364,19,0.37566,3,-2.1335,11,-0.5622,14,-0.1609
ENSG00000090273,NUDC,124,-0.6939,188,-0.0542,272,0.53760,154,-0.3593,213,0.20558,205,0.08183,141,-0.4927,198,0.02787
ENSG00000253368,TRNP1,29,-0.8499,84,0.84168,38,-0.4305,63,0.37036,59,0.39412,38,-0.4233,22,-1.2553,44,-0.2165
ENSG00000090020,SLC9A1,29,0.68341,18,-0.0960,20,0.12776,15,-0.3268,23,0.47740,19,0.00267,8,-1.3077,12,-0.7395
ENSG00000142784,WDTC1,38,0.61063,40,0.72072,27,0.07887,15,-0.7930,20,-0.4895,17,-0.6151,25,-0.0680,33,0.42710
ENSG00000186501,TMEM222,72,0.34251,66,0.21108,54,-0.0924,72,0.35473,66,0.28751,32,-0.8736,40,-0.5582,46,-0.3662
