top,model_type,test,gene,stat,pval,fdr,gene_index,logFC,ensembl
1,enrichment,Sp11D01,BTBD3,10.18232447933005,2.254024118908583e-21,1.3979174515942304e-17,10564,0.9917246262993794,ENSG00000132640
2,enrichment,Sp11D01,LAMP5,10.174287803129491,2.4004764344367314e-21,1.3979174515942304e-17,10559,2.1028532036118204,ENSG00000125869
3,enrichment,Sp11D01,MAPK1,10.046192475346082,6.5246933486135196e-21,2.5331034477100555e-17,10985,0.9952511695707911,ENSG00000100030
4,enrichment,Sp11D01,ATP6V1H,9.937172157847678,1.5202588298519577e-20,4.426613647821438e-17,4890,1.153256856982176,ENSG00000047249
5,enrichment,Sp11D01,NCAM2,9.455424806426244,6.018894632427698e-19,1.0014580826269343e-15,10835,0.9420458628428408,ENSG00000154654
6,enrichment,Sp11D01,RTN4,9.421985741823637,7.740990142139721e-19,1.1269914023187666e-15,1356,0.6492309709684597,ENSG00000115310
7,enrichment,Sp11D01,HPCAL1,9.28396791276319,2.1754287338907683e-18,2.81524649595842e-15,1199,1.187768565957642,ENSG00000115756
8,enrichment,Sp11D01,PSD3,9.26596937499993,2.4876509156615963e-18,2.8973670214710612e-15,4770,0.9425712528954971,ENSG00000156011
9,enrichment,Sp11D01,HOPX,9.2440256136137,2.928965216937648e-18,3.1012416256066167e-15,2774,1.6665693073707368,ENSG00000171476
10,enrichment,Sp11D01,NCDN,9.183646607665974,4.58533482224391e-18,4.108107282667294e-15,299,1.00043282235884,ENSG00000020129
1,enrichment,Sp11D02,COX6A1,8.044222517205998,1.5470032417506448e-14,1.8017946756669761e-10,7308,0.476622915080715,ENSG00000111775
2,enrichment,Sp11D02,MAP1A,6.53119721922673,2.4458483991210586e-10,1.4243398152281485e-6,8103,0.5528080270057412,ENSG00000166963
3,enrichment,Sp11D02,COX5B,6.3289748989876555,7.983993867120088e-10,3.0996525523449224e-6,1514,0.34436451816727126,ENSG00000135940
4,enrichment,Sp11D02,TUBB2B,6.103283955501721,2.893604695387744e-9,8.095472616480036e-6,3592,0.5837250070915782,ENSG00000137285
5,enrichment,Sp11D02,ENHO,6.0632357788692985,3.6231022837292353e-9,8.095472616480036e-6,5230,0.4979371595437929,ENSG00000168913
6,enrichment,Sp11D02,C9orf16,6.03807419818763,4.170416046954599e-9,8.095472616480036e-6,5500,0.4275654756152274,ENSG00000171159
7,enrichment,Sp11D02,CCDC85B,5.990499097968572,5.43475221329581e-9,9.0426512897509e-6,6462,0.3624709136393114,ENSG00000175602
8,enrichment,Sp11D02,NAA38,5.866404386224771,1.0762125031602615e-8,1.5641213941422234e-5,9012,0.4356767610754921,ENSG00000183011
9,enrichment,Sp11D02,HOPX,5.845127045250568,1.2086453633794119e-8,1.5641213941422234e-5,2774,1.1251530944553347,ENSG00000171476
10,enrichment,Sp11D02,NDUFA4,5.804020487906567,1.511034909371066e-8,1.7599023589444805e-5,4235,0.49702069809515104,ENSG00000189043
1,enrichment,Sp11D03,GPR6,7.776806749861189,9.432281262112456e-14,5.920525405437662e-10,3995,2.072156814616759,ENSG00000146360
2,enrichment,Sp11D03,RTN3,7.622237377348708,2.6324771035313795e-13,6.698969704712188e-10,6395,0.604008814434918,ENSG00000133318
3,enrichment,Sp11D03,NTNG1,7.620270220543054,2.6668521803687304e-13,6.698969704712188e-10,585,2.25536744112027,ENSG00000162631
4,enrichment,Sp11D03,NECAB1,7.6088239880591795,2.87583485219893e-13,6.698969704712188e-10,4981,0.7489881374254025,ENSG00000123119
5,enrichment,Sp11D03,WASF1,7.554371888516772,4.11320077168365e-13,7.94582562064859e-10,3996,0.9307200598688191,ENSG00000112290
6,enrichment,Sp11D03,TUBB3,7.522140440649621,5.079479920990028e-13,7.94582562064859e-10,8893,0.9753044397251172,ENSG00000258947
7,enrichment,Sp11D03,COL5A2,7.497774428201564,5.955521797134514e-13,7.94582562064859e-10,1742,2.2798894338205344,ENSG00000204262
8,enrichment,Sp11D03,HMGCS1,7.493096956915641,6.139987171446494e-13,7.94582562064859e-10,3121,0.6552072625970924,ENSG00000112972
9,enrichment,Sp11D03,DCLK1,7.4030298355166275,1.1019451816823457e-12,1.283435553105428e-9,7452,0.8046162231993867,ENSG00000133083
10,enrichment,Sp11D03,SERPINI1,7.28005066307948,2.4297641337185906e-12,2.4914126442503095e-9,2503,0.8709380486012085,ENSG00000163536
1,enrichment,Sp11D04,TUBA1B,7.844455792574488,5.99354090797405e-14,6.980677095517377e-10,6970,0.6779265550898718,ENSG00000123416
2,enrichment,Sp11D04,PCP4,7.48663642329387,6.404280019068863e-13,1.7210074948109437e-9,10891,1.6299992134457406,ENSG00000183036
3,enrichment,Sp11D04,SV2B,7.48338584194798,6.541358852505684e-13,1.7210074948109437e-9,8343,1.140616713498098,ENSG00000185518
4,enrichment,Sp11D04,SSBP3,7.478087657035078,6.771012379943491e-13,1.7210074948109437e-9,443,0.7024826620620666,ENSG00000157216
5,enrichment,Sp11D04,IPCEF1,7.4646819620078775,7.388200801970222e-13,1.7210074948109437e-9,4123,1.4661053662197032,ENSG00000074706
6,enrichment,Sp11D04,SNCA,7.370443609225328,1.3600379061735578e-12,2.640060248867238e-9,2849,0.8847229765967309,ENSG00000145335
7,enrichment,Sp11D04,NUAK1,7.3063894342220825,2.0528755633847867e-12,3.415691669534659e-9,7216,0.973726000435098,ENSG00000074590
8,enrichment,Sp11D04,SYT1,7.273536617086674,2.5331228396390592e-12,3.687910214159515e-9,7150,1.0144782213619272,ENSG00000067715
9,enrichment,Sp11D04,HS3ST2,7.223286460934078,3.4893466112508255e-12,4.515602220137596e-9,8556,2.0992630036323163,ENSG00000122254
10,enrichment,Sp11D04,STMN2,7.1426844685323285,5.813569995847657e-12,6.155513612876151e-9,4956,1.0333380294231858,ENSG00000104435
1,enrichment,Sp11D05,DIRAS2,11.384206737737463,1.4127707037728456e-25,1.6454540386842332e-21,5335,1.8055238977753143,ENSG00000165023
2,enrichment,Sp11D05,EFHD2,11.236553750168905,4.762099930664385e-25,2.7732088946224044e-21,124,1.823602259341038,ENSG00000142634
3,enrichment,Sp11D05,NNAT,10.725944376530393,3.013218284055386e-23,1.1698317784797693e-19,10668,1.3314720642666515,ENSG00000053438
4,enrichment,Sp11D05,CCN2,10.154282556980435,2.8067525226427487e-21,8.172561657805024e-18,4058,2.4408637437189893,ENSG00000118523
5,enrichment,Sp11D05,HS3ST4,9.96652344216104,1.2109514768965653e-20,2.82079037028286e-17,8572,2.499805260312003,ENSG00000182601
6,enrichment,Sp11D05,KRT17,9.880134733151962,2.361496944472499e-20,4.286101823482836e-17,9218,3.347298948194391,ENSG00000128422
7,enrichment,Sp11D05,TBR1,9.868859810902043,2.576003499989684e-20,4.286101823482836e-17,1668,1.7515475632444197,ENSG00000136535
8,enrichment,Sp11D05,NCALD,9.688067163564138,1.0310355926495736e-19,1.501058943448698e-16,5019,1.2236650272996867,ENSG00000104490
9,enrichment,Sp11D05,LMO3,9.611808291805344,1.8430561384869612e-19,2.385119427217515e-16,6874,1.2185913598873077,ENSG00000048540
10,enrichment,Sp11D05,OLFML2B,9.594153594167764,2.107588929561024e-19,2.4547088262597247e-16,860,2.6811430352495575,ENSG00000162745
