Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000228794,LINC01128,4,-2.2724,26,0.59899,22,0.29383,16,-0.2697,22,0.30464,7,-1.4101,18,-0.1176
ENSG00000188976,NOC2L,20,-1.1297,37,-0.2166,41,-0.0371,51,0.31463,58,0.65525,27,-0.6603,35,-0.2750
ENSG00000188290,HES4,29,-1.0880,66,0.19336,77,0.46426,37,-0.7134,48,-0.3968,93,0.72269,64,0.10339
ENSG00000187608,ISG15,76,0.72867,58,0.31681,64,0.49447,24,-1.0587,36,-0.5517,42,-0.2175,39,-0.3250
ENSG00000188157,AGRN,27,0.51463,22,0.18062,12,-0.8265,26,0.44752,23,0.30037,14,-0.4850,13,-0.6514
ENSG00000078808,SDF4,65,0.09229,57,-0.1184,54,-0.2096,92,0.66796,59,-0.0670,77,0.37017,38,-0.7158
ENSG00000176022,B3GALT6,18,-0.7695,34,0.21124,31,0.03508,42,0.49259,32,0.07315,28,-0.1220,21,-0.5459
ENSG00000160087,UBE2J2,22,-0.7185,38,0.14948,34,-0.0591,33,-0.0590,41,0.33050,32,-0.1474,30,-0.2345
ENSG00000131584,ACAP3,57,-0.0513,71,0.32373,55,-0.1357,47,-0.3630,70,0.34267,43,-0.4837,42,-0.5250
ENSG00000169972,PUSL1,10,-0.0104,15,0.66576,8,-0.3470,5,-0.9307,12,0.36566,4,-1.1967,9,-0.1457
ENSG00000127054,INTS11,41,-0.1588,55,0.34723,47,0.05042,45,-0.0333,49,0.16088,35,-0.4052,28,-0.7615
ENSG00000224051,CPTP,16,-0.9440,45,0.75565,29,-0.0225,21,-0.5160,34,0.29799,17,-0.8303,21,-0.5461
ENSG00000107404,DVL1,59,0.07320,57,0.03710,57,0.03237,34,-0.7668,52,-0.1504,82,0.60403,58,0.05249
ENSG00000175756,AURKAIP1,145,-0.1582,169,0.09307,160,-0.0024,144,-0.1651,164,0.04906,157,-0.0324,166,0.05490
ENSG00000221978,CCNL2,60,0.43618,52,0.22777,43,-0.0990,35,-0.4304,55,0.35982,31,-0.6157,24,-1.0108
ENSG00000224870,MRPL20-AS1,15,0.46347,10,-0.0998,8,-0.4640,10,-0.1581,13,0.34390,12,0.17733,7,-0.5967
ENSG00000242485,MRPL20,180,-0.1034,195,0.02171,203,0.09244,257,0.46861,175,-0.1816,154,-0.3511,204,0.09490
ENSG00000235098,ANKRD65,33,0.72006,29,0.55167,19,-0.1836,23,0.10090,16,-0.5162,18,-0.2514,16,-0.4743
ENSG00000179403,VWA1,229,3.14339,18,-1.4770,18,-1.4229,47,0.11789,19,-1.4799,59,0.46294,20,-1.1576
ENSG00000197785,ATAD3A,10,-0.5171,16,0.33136,10,-0.4849,15,0.12890,18,0.52957,9,-0.6267,10,-0.4421
ENSG00000205090,TMEM240,12,-1.6560,36,-0.0015,50,0.56820,42,0.23962,35,-0.0781,24,-0.6538,45,0.33894
ENSG00000160075,SSU72,90,-0.6191,155,0.25117,150,0.19458,144,0.10394,134,-0.0066,108,-0.3393,126,-0.1090
ENSG00000228594,FNDC10,5,-2.5781,31,0.09244,37,0.40683,39,0.40730,33,0.19542,22,-0.4929,26,-0.1903
ENSG00000272106,AL691432.2,22,0.23260,19,-0.0062,12,-0.8021,17,-0.2361,23,0.37500,27,0.55033,14,-0.4671
ENSG00000197530,MIB2,20,-0.6733,29,-0.0888,37,0.34001,23,-0.4283,39,0.52967,14,-1.1415,28,-0.1085
ENSG00000248333,CDK11B,18,1.21190,4,-1.0410,4,-1.0817,7,-0.2706,11,0.47624,12,0.49780,7,-0.2750
ENSG00000189339,SLC35E2B,16,-0.0466,14,-0.2650,15,-0.0827,10,-0.6937,18,0.20390,29,0.92997,11,-0.5894
ENSG00000215790,SLC35E2A,19,-0.3755,25,0.03364,21,-0.1950,15,-0.6722,27,0.23773,25,0.08440,32,0.43433
ENSG00000008130,NADK,12,-0.9102,24,0.14257,19,-0.2905,31,0.52842,26,0.32527,13,-0.8632,25,0.16679
ENSG00000078369,GNB1,216,-1.0496,452,0.10049,453,0.10615,481,0.18931,460,0.14738,435,0.03053,376,-0.2015
ENSG00000187730,GABRD,6,-4.4696,289,1.47836,145,0.09896,50,-1.5247,136,-0.0174,65,-1.1368,111,-0.3353
ENSG00000067606,PRKCZ,99,-0.8625,155,-0.1830,196,0.23418,172,-0.0042,210,0.40417,132,-0.4198,161,-0.1050
ENSG00000162585,FAAP20,66,0.67290,26,-0.8796,49,0.21638,58,0.44655,29,-0.7572,73,0.83980,46,0.09018
ENSG00000157933,SKI,43,0.47661,29,-0.1872,30,-0.1229,36,0.18707,25,-0.4206,39,0.34018,39,0.32954
ENSG00000157916,RER1,78,0.45016,67,0.23387,47,-0.3674,55,-0.1187,64,0.17277,47,-0.3641,47,-0.3634
ENSG00000157911,PEX10,45,0.78471,23,-0.2808,27,-0.0628,23,-0.2953,24,-0.2680,36,0.43124,28,0.00796
ENSG00000149527,PLCH2,9,-1.0471,32,1.18023,26,0.73707,4,-2.2325,13,-0.5078,6,-1.4685,16,-0.1205
ENSG00000157881,PANK4,7,-1.1782,23,0.75511,10,-0.5883,17,0.20804,16,0.10619,19,0.37119,8,-0.9106
ENSG00000197921,HES5,4,-2.1755,16,-0.2689,22,0.22323,7,-1.4275,9,-1.2954,67,2.19875,28,0.62538
ENSG00000272449,AL139246.5,0,-7.5210,8,0.08755,11,0.66673,1,-2.9669,6,-0.4898,18,1.37812,10,0.41948
ENSG00000157873,TNFRSF14,2,-1.6494,20,1.91117,5,-0.5537,1,-2.4582,5,-0.5704,6,-0.3404,7,-0.0219
ENSG00000157870,PRXL2B,21,-1.4140,83,0.78899,46,-0.2731,44,-0.3229,61,0.25425,33,-0.7403,54,0.01051
