Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000197530,MIB2,72,0.91469,44,0.11970,50,0.33873,33,-0.3361,19,-1.1941,31,-0.4658,46,0.16270,36,-0.2073
ENSG00000189339,SLC35E2B,3,-3.9679,69,0.50328,76,0.77410,41,-0.3307,74,0.61476,51,0.03448,43,-0.2439,20,-1.3710
ENSG00000008130,NADK,64,1.10944,40,0.31649,38,0.28144,23,-0.5261,37,0.16985,28,-0.2640,17,-1.0004,14,-1.2590
ENSG00000078369,GNB1,97,-2.1235,419,0.10862,530,0.56824,369,-0.0947,499,0.39455,445,0.23296,394,0.01071,189,-1.1314
ENSG00000187730,GABRD,55,-1.3881,177,0.42501,204,0.77231,116,-0.2599,113,-0.2993,193,0.65605,100,-0.4881,8,-4.0859
ENSG00000067606,PRKCZ,81,-1.3658,250,0.39245,213,0.15011,223,0.20764,322,0.81890,205,0.07957,159,-0.3356,91,-1.1807
ENSG00000162585,FAAP20,71,0.31060,56,-0.0607,27,-1.3078,90,0.71012,41,-0.5418,74,0.43141,71,0.32140,54,-0.1309
ENSG00000157933,SKI,11,-1.5996,36,0.24276,19,-0.7997,44,0.57356,30,-0.0426,41,0.53280,33,0.09371,35,0.18257
ENSG00000157916,RER1,191,1.52614,101,0.40291,59,-0.4910,49,-0.7444,62,-0.3717,65,-0.3184,69,-0.2042,64,-0.3106
ENSG00000157911,PEX10,55,0.76281,44,0.41149,24,-0.5854,39,0.22677,26,-0.4341,25,-0.5636,35,0.03562,45,0.45062
ENSG00000149527,PLCH2,3,-2.8321,23,-0.0249,38,0.94952,23,0.01645,7,-1.7161,28,0.36557,28,0.30987,14,-0.7456
ENSG00000157881,PANK4,47,1.24224,26,0.21729,24,0.15206,10,-1.2203,11,-1.1041,22,0.00531,23,0.01531,14,-0.7039
ENSG00000197921,HES5,3,-2.3887,20,0.27086,7,-1.3245,34,1.18837,12,-0.5049,11,-0.7441,62,2.36653,0,-6.2651
ENSG00000157870,PRXL2B,3,-4.2198,74,0.33775,79,0.52014,73,0.30628,88,0.61723,57,-0.0973,71,0.26764,20,-1.6931
ENSG00000177133,PRDM16-DT,114,2.27785,8,-2.0621,35,0.13226,25,-0.3971,13,-1.3714,23,-0.6135,38,0.27608,10,-1.8043
ENSG00000158109,TPRG1L,39,-2.0868,196,0.37305,235,0.79454,139,-0.1828,230,0.64567,149,-0.0714,136,-0.2097,45,-1.8874
ENSG00000130764,LRRC47,3,-4.4555,118,0.84770,81,0.24699,52,-0.4946,119,0.86277,83,0.29211,48,-0.5949,39,-0.9206
ENSG00000116198,CEP104,3,-2.2263,17,0.23894,9,-0.8281,14,-0.0874,9,-0.7359,22,0.74162,17,0.18216,26,0.91777
ENSG00000196581,AJAP1,3,-3.4004,43,0.35858,81,1.85005,30,-0.1746,24,-0.5103,24,-0.5846,16,-1.1088,12,-1.5325
ENSG00000069424,KCNAB2,117,-1.1540,339,0.51621,367,0.75427,279,0.19731,260,0.08339,253,0.03935,198,-0.3517,39,-2.7825
ENSG00000116254,CHD5,24,-2.6042,171,0.36153,157,0.25334,158,0.23294,182,0.46519,207,0.80301,81,-0.8105,21,-2.7931
ENSG00000116251,RPL22,760,0.55006,277,-1.0429,459,-0.2974,408,-0.4499,330,-0.7799,409,-0.4921,833,0.70617,1083,1.16540
ENSG00000116237,ICMT,17,-1.0735,54,0.70198,49,0.62420,30,-0.2634,15,-1.2557,34,-0.0548,44,0.35628,25,-0.5414
ENSG00000158292,GPR153,3,-2.2494,15,-0.0178,24,0.87008,12,-0.3427,5,-1.4998,23,0.75358,22,0.61590,0,-4.6972
ENSG00000097021,ACOT7,200,-0.3377,370,0.65881,428,1.07477,155,-0.7374,200,-0.3387,234,-0.1046,162,-0.6626,68,-1.9732
ENSG00000215788,TNFRSF25,93,1.69855,28,-0.3427,45,0.49281,15,-1.3117,22,-0.6838,26,-0.4693,41,0.27963,5,-2.8858
ENSG00000171680,PLEKHG5,3,-3.2937,24,-0.4090,55,1.09108,35,0.15898,30,-0.0715,42,0.50711,24,-0.4038,5,-2.5634
ENSG00000162408,NOL9,3,-3.3211,49,0.67803,32,-0.0052,33,0.05236,59,0.98901,31,-0.0881,40,0.34438,13,-1.3919
ENSG00000162413,KLHL21,3,-3.4240,63,0.98832,37,0.12588,24,-0.5353,34,-0.0384,33,-0.0796,49,0.56621,32,-0.1092
ENSG00000041988,THAP3,3,-2.6373,29,0.61449,24,0.33579,13,-0.6241,12,-0.7544,28,0.61775,26,0.42494,12,-0.7711
ENSG00000007923,DNAJC11,3,-3.7509,52,0.27920,49,0.20382,34,-0.3970,52,0.30365,68,0.86941,24,-0.8987,35,-0.3294
ENSG00000171735,CAMTA1,3,-5.4792,173,0.29486,102,-0.6032,179,0.34830,239,0.83929,214,0.75516,125,-0.2243,90,-0.7270
ENSG00000049245,VAMP3,3,-3.3600,18,-0.8905,13,-1.4760,19,-0.8508,24,-0.4760,15,-1.2821,67,1.18563,141,2.72391
ENSG00000049246,PER3,3,-3.0180,23,-0.1848,24,-0.1346,28,0.09042,15,-0.8584,29,0.18966,30,0.24224,55,1.26182
ENSG00000116288,PARK7,301,-0.0859,210,-0.6489,462,0.71005,222,-0.5623,290,-0.1460,248,-0.4373,453,0.57883,284,-0.1787
ENSG00000116285,ERRFI1,3,-2.2180,23,0.69381,15,0.00297,8,-0.9520,19,0.40472,23,0.82194,7,-1.0241,12,-0.2928
ENSG00000162426,SLC45A1,3,-3.3899,66,1.11976,31,-0.1623,30,-0.2084,31,-0.1538,41,0.33326,60,0.93926,6,-2.5417
ENSG00000142599,RERE,35,-1.3536,88,0.07025,112,0.53092,71,-0.2687,65,-0.4110,97,0.26361,87,0.04232,79,-0.1085
ENSG00000074800,ENO1,345,-0.9355,650,0.05199,910,0.70150,456,-0.5087,546,-0.2244,558,-0.2147,952,0.68106,409,-0.6757
ENSG00000171612,SLC25A33,3,-3.2442,25,-0.3267,24,-0.4098,29,-0.0637,19,-0.7616,33,0.11575,100,2.10917,16,-0.9646
ENSG00000188807,TMEM201,220,3.76323,31,-0.2665,10,-2.0406,12,-1.6042,13,-1.5034,18,-1.1267,9,-2.0528,20,-0.9330
ENSG00000171608,PIK3CD,3,-2.3188,34,1.25786,6,-1.4750,12,-0.4741,30,1.00272,23,0.65190,18,0.19827,5,-1.6358
ENSG00000171603,CLSTN1,344,-0.9827,1046,0.79661,853,0.51912,478,-0.4763,637,-0.0223,771,0.32460,519,-0.3483,193,-1.8480
ENSG00000178585,CTNNBIP1,3,-3.3295,49,0.66988,11,-1.6960,38,0.26181,62,1.06913,43,0.53446,41,0.38834,22,-0.6114
ENSG00000162441,LZIC,3,-3.3030,16,-1.0087,20,-0.7488,31,-0.0256,24,-0.4276,37,0.29204,58,0.99329,69,1.31717
ENSG00000130939,UBE4B,3,-3.1724,52,0.96988,34,0.27494,31,0.10116,56,1.08395,24,-0.3311,15,-0.9899,17,-0.7751
ENSG00000054523,KIF1B,72,-1.9317,348,0.50741,241,-0.1053,250,-0.0332,355,0.53719,302,0.31146,190,-0.4691,252,-0.0185
ENSG00000142657,PGD,49,0.04686,59,0.36264,46,-0.0413,56,0.26038,55,0.24035,48,0.02239,25,-0.9943,41,-0.2075
ENSG00000241563,CORT,3,-4.2670,49,-0.3786,74,0.30970,36,-0.8498,28,-1.1999,96,0.83716,143,1.41746,23,-1.5258
ENSG00000160049,DFFA,124,2.08358,33,-0.2162,28,-0.5211,29,-0.4214,23,-0.7675,29,-0.4911,27,-0.5201,32,-0.2885
ENSG00000142655,PEX14,3,-3.2425,42,0.50342,58,1.27555,29,-0.1033,35,0.24270,31,0.04813,11,-1.5000,6,-2.2930
ENSG00000120948,TARDBP,3,-4.1034,70,0.36702,71,0.45978,47,-0.2618,61,0.16653,54,-0.0587,59,0.10251,65,0.24764
ENSG00000116649,SRM,171,0.69299,112,-0.0076,120,0.11782,84,-0.4518,100,-0.1894,100,-0.2066,148,0.45166,68,-0.7762
ENSG00000171824,EXOSC10,38,0.64688,23,-0.1677,26,0.02873,26,0.04424,21,-0.3145,19,-0.5060,28,0.15932,29,0.20745
ENSG00000198793,MTOR,3,-3.6650,47,0.21153,65,0.88517,36,-0.2108,44,0.13448,47,0.25682,33,-0.3552,22,-0.9270
ENSG00000116661,FBXO2,393,0.36917,262,-0.2802,283,-0.1818,322,0.04521,190,-0.7767,192,-0.8366,739,1.47441,274,-0.2104
ENSG00000132879,FBXO44,92,-0.6187,229,0.85488,187,0.59093,117,-0.2550,171,0.35784,121,-0.2223,85,-0.7419,59,-1.3043
ENSG00000116670,MAD2L2,35,0.29118,26,-0.1705,40,0.56775,21,-0.5357,13,-1.1692,24,-0.3569,34,0.25348,36,0.31634
ENSG00000177674,AGTRAP,46,1.17218,2,-3.2917,12,-1.0399,13,-0.8740,8,-1.5956,8,-1.6668,82,2.32383,36,0.74593
ENSG00000177000,MTHFR,3,-2.1201,20,0.59447,17,0.37404,11,-0.3978,13,-0.1432,14,0.03021,22,0.77246,7,-0.9434
ENSG00000011021,CLCN6,3,-4.0375,111,1.25471,40,-0.4807,47,-0.1955,48,-0.1560,77,0.69804,44,-0.2991,43,-0.3285
ENSG00000116685,KIAA2013,53,0.48234,53,0.47618,25,-0.7679,29,-0.4857,23,-0.8428,41,0.09391,48,0.32447,55,0.54066
ENSG00000083444,PLOD1,138,2.42950,18,-1.0634,16,-1.3642,11,-1.7573,22,-0.7672,29,-0.4134,61,0.85455,25,-0.6038
ENSG00000116688,MFN2,3,-4.6283,107,0.47629,102,0.45752,70,-0.2055,92,0.23147,100,0.42231,50,-0.7390,71,-0.1778
ENSG00000116691,MIIP,3,-2.4161,18,0.12202,17,-0.0180,16,-0.0955,28,0.82022,16,-0.1590,24,0.53381,16,-0.0987
ENSG00000048707,VPS13D,3,-3.9746,73,0.58406,31,-0.8110,44,-0.2136,100,1.14309,68,0.54888,55,0.12634,33,-0.6754
ENSG00000162496,DHRS3,53,0.67331,28,-0.3696,2,-3.8881,44,0.37298,26,-0.4427,31,-0.1917,92,1.67344,39,0.16930
ENSG00000116731,PRDM2,100,0.47680,87,0.26149,72,-0.0526,51,-0.5829,92,0.35308,69,-0.1241,73,-0.0268,56,-0.4326
ENSG00000189337,KAZN,3,-3.6662,39,-0.0715,26,-0.7654,27,-0.6689,56,0.50850,57,0.63158,49,0.27398,69,0.86241
ENSG00000142634,EFHD2,23,-1.9519,63,-0.4592,21,-2.2591,51,-0.7983,484,3.57397,42,-1.1862,49,-0.8558,52,-0.7685
ENSG00000116138,DNAJC16,3,-2.6860,40,1.10967,29,0.62486,15,-0.5221,11,-1.0091,21,0.00992,27,0.41567,12,-0.8765
ENSG00000197312,DDI2,3,-2.6233,20,-0.0151,18,-0.2013,8,-1.3023,34,0.87583,30,0.81046,17,-0.2665,20,0.04418
ENSG00000116786,PLEKHM2,3,-4.5664,101,0.44373,79,0.05509,105,0.52113,88,0.21591,97,0.43572,86,0.19634,31,-1.3995
ENSG00000065526,SPEN,149,2.25039,25,-0.8239,29,-0.6442,20,-1.1655,25,-0.8019,31,-0.5810,28,-0.6629,61,0.56693
ENSG00000116809,ZBTB17,3,-2.4898,17,-0.0504,13,-0.5574,14,-0.3352,22,0.33826,28,0.82973,18,-0.0231,23,0.40409
ENSG00000185519,FAM131C,3,-2.1696,15,0.07700,8,-0.9498,14,-0.0220,6,-1.2034,30,1.44486,7,-0.9893,22,0.70952
ENSG00000037637,FBXO42,3,-2.3494,42,1.58719,12,-0.5394,12,-0.5092,14,-0.2518,14,-0.2480,30,0.97662,11,-0.5500
ENSG00000055070,SZRD1,72,1.31681,18,-0.9155,26,-0.3855,24,-0.5120,20,-0.7518,15,-1.3067,61,1.00122,53,0.76729
ENSG00000159363,ATP13A2,50,-1.6491,227,0.72222,124,-0.2983,147,0.00145,144,-0.0306,254,1.07867,111,-0.4375,32,-2.2806
ENSG00000117118,SDHB,3,-4.0676,68,0.37076,85,0.86828,52,-0.0750,43,-0.3545,44,-0.3564,82,0.67476,35,-0.6754
ENSG00000117115,PADI2,4,-4.1291,12,-2.4965,27,-1.4471,28,-1.2607,23,-1.5874,23,-1.6709,141,1.33192,335,3.27993
ENSG00000179051,RCC2,46,1.19288,29,0.41895,14,-0.7788,19,-0.2621,11,-1.0170,28,0.42779,7,-1.7731,27,0.30834
ENSG00000074964,ARHGEF10L,3,-2.3876,16,-0.1106,11,-0.7284,23,0.49707,22,0.40918,25,0.75425,22,0.44666,10,-0.7361
ENSG00000117154,IGSF21,87,0.35144,92,0.43578,40,-0.9409,64,-0.1556,161,1.41643,89,0.43317,15,-2.3027,25,-1.5673
ENSG00000159423,ALDH4A1,3,-3.1541,10,-1.5062,27,-0.1050,44,0.70807,15,-0.9565,18,-0.8121,87,1.96173,36,0.38807
ENSG00000169991,IFFO2,3,-1.9995,33,1.58132,8,-0.7844,14,0.13312,15,0.21041,13,-0.0296,6,-1.0018,16,0.36062
ENSG00000127463,EMC1,109,1.79331,48,0.34645,41,0.09129,25,-0.6662,26,-0.6230,27,-0.6375,28,-0.5150,17,-1.2530
ENSG00000053372,MRTO4,52,0.31983,39,-0.1539,44,0.06189,21,-1.0899,52,0.33089,67,0.85940,25,-0.8504,16,-1.4863
ENSG00000053371,AKR7A2,71,0.69103,32,-0.5915,48,0.04261,40,-0.2185,22,-1.1398,25,-1.0240,76,0.82122,77,0.83805
ENSG00000077549,CAPZB,307,0.52963,265,0.28647,269,0.35326,171,-0.4118,222,0.00307,189,-0.2797,228,0.04072,110,-1.0851
ENSG00000173436,MICOS10,298,0.06628,243,-0.2579,331,0.27196,297,0.06069,249,-0.2184,230,-0.3834,285,-0.0050,364,0.39344
ENSG00000158747,NBL1,571,1.36116,233,-0.1512,146,-0.9585,195,-0.4321,364,0.57227,253,-0.0282,355,0.53088,51,-2.4500
ENSG00000162545,CAMK2N1,394,-1.4252,844,-0.2591,1957,1.37817,903,-0.1530,396,-1.4200,1070,0.13418,747,-0.4513,599,-0.7929
ENSG00000090432,MUL1,35,0.52246,27,0.10368,28,0.15529,23,-0.1869,25,-0.0055,25,-0.0510,22,-0.2581,18,-0.5630
ENSG00000183114,FAM43B,3,-2.3751,22,0.45472,4,-2.0981,12,-0.5569,60,2.31243,19,0.20963,11,-0.5697,12,-0.5194
ENSG00000158828,PINK1,38,-3.4005,525,0.58793,404,0.17616,370,0.01460,452,0.34144,460,0.42124,327,-0.1797,226,-0.7552
ENSG00000244038,DDOST,148,2.59108,35,-0.0910,25,-0.6494,22,-0.8045,15,-1.3707,30,-0.3359,24,-0.6804,13,-1.5779
ENSG00000117245,KIF17,3,-2.1979,25,0.83449,10,-0.6218,11,-0.4345,37,1.57595,14,-0.0894,13,-0.2436,10,-0.5536
ENSG00000189410,SH2D5,78,1.38207,31,-0.1720,66,1.30486,11,-1.6520,33,-0.0626,17,-1.2077,25,-0.5144,1,-4.9024
ENSG00000127483,HP1BP3,185,0.61920,116,-0.1390,113,-0.2046,106,-0.2881,129,0.03024,143,0.22210,109,-0.2389,111,-0.2186
ENSG00000075151,EIF4G3,235,1.22169,131,0.21847,90,-0.4052,84,-0.4851,131,0.21815,138,0.34785,41,-1.5477,62,-0.9346
ENSG00000117298,ECE1,54,1.32839,12,-1.0622,14,-0.9034,14,-0.8590,10,-1.3693,18,-0.5343,48,1.08897,44,0.94378
ENSG00000076864,RAP1GAP,3,-5.4997,274,1.05271,188,0.47059,130,-0.1880,242,0.83421,167,0.24773,80,-0.9381,22,-2.8639
ENSG00000090686,USP48,3,-3.4961,28,-0.3840,53,0.70515,21,-0.8761,43,0.26018,38,0.07124,39,0.09693,49,0.47127
ENSG00000070831,CDC42,253,0.19338,357,0.76605,222,-0.0218,167,-0.4646,179,-0.3596,267,0.32145,125,-0.9046,185,-0.3055
ENSG00000173372,C1QA,247,3.27830,3,-3.8264,8,-2.6778,13,-1.9294,5,-3.2846,13,-2.1024,143,1.94632,19,-1.3632
ENSG00000173369,C1QB,432,4.04295,5,-3.7616,9,-3.0431,15,-2.2343,19,-1.8931,10,-2.9100,136,1.21165,17,-2.0214
ENSG00000004487,KDM1A,149,1.34205,72,0.09482,65,-0.0669,41,-0.7877,62,-0.1390,69,0.03000,66,-0.0440,19,-1.9096
ENSG00000169641,LUZP1,3,-3.8352,68,0.63966,43,-0.1002,33,-0.5100,56,0.31292,90,1.36001,26,-0.8756,6,-2.9725
ENSG00000125944,HNRNPR,3,-4.5337,79,0.08988,101,0.56890,59,-0.3735,69,-0.1334,93,0.40554,75,-0.0038,74,-0.0087
ENSG00000125945,ZNF436,3,-2.2476,22,0.61046,27,1.10213,9,-0.8412,25,0.81874,9,-0.8753,5,-1.6442,16,0.09872
ENSG00000117318,ID3,221,2.07782,2,-4.8360,10,-2.9693,12,-2.5514,6,-3.6544,10,-2.9300,331,3.04325,75,0.13464
ENSG00000142676,RPL11,1601,1.57737,205,-1.7520,404,-0.7971,363,-0.8920,324,-1.0620,403,-0.8016,975,0.68705,1344,1.25042
ENSG00000057757,PITHD1,153,-0.1273,200,0.29807,227,0.59034,100,-0.7868,184,0.16484,200,0.34368,89,-0.9675,80,-1.1356
ENSG00000011009,LYPLA2,3,-3.6989,57,0.51134,48,0.26134,33,-0.3716,75,0.96260,45,0.11163,48,0.21673,16,-1.4102
ENSG00000117308,GALE,3,-2.2025,22,0.64542,28,1.28818,10,-0.5264,10,-0.6191,16,0.10537,5,-1.6765,9,-0.6845
ENSG00000117305,HMGCL,112,2.60849,19,-0.5266,22,-0.4060,20,-0.4735,9,-1.6193,8,-1.9859,33,0.32866,20,-0.4559
ENSG00000189266,PNRC2,22,-0.9132,29,-0.5103,32,-0.4277,38,-0.1269,25,-0.7687,49,0.34529,78,1.08607,53,0.42383
ENSG00000188529,SRSF10,51,0.37482,49,0.28847,38,-0.1155,43,0.07763,36,-0.1730,31,-0.4616,46,0.18657,43,0.10176
ENSG00000001461,NIPAL3,3,-4.2602,52,-0.2862,45,-0.5322,54,-0.2119,60,-0.0412,76,0.37431,59,-0.0719,148,1.49110
ENSG00000133226,SRRM1,3,-3.5576,32,-0.2778,40,0.08485,28,-0.4967,43,0.18233,37,-0.0355,45,0.25888,76,1.15840
ENSG00000169504,CLIC4,3,-3.6189,13,-1.6943,7,-2.6840,22,-0.8946,16,-1.3739,16,-1.4972,89,1.37426,207,3.27337
ENSG00000117614,SYF2,3,-3.8952,44,-0.1354,46,-0.0685,46,-0.0495,30,-0.7044,44,-0.1327,86,0.96089,89,1.02044
ENSG00000117616,RSRP1,3,-3.9009,56,0.24758,69,0.67329,32,-0.6403,39,-0.3169,34,-0.6022,73,0.68766,72,0.66078
ENSG00000183726,TMEM50A,43,-0.8481,88,0.28263,109,0.75515,52,-0.5365,32,-1.2679,56,-0.4777,103,0.54974,87,0.27779
ENSG00000204178,MACO1,3,-2.8273,49,1.28523,17,-0.4968,24,0.05725,28,0.34230,27,0.31367,8,-1.5651,28,0.30416
ENSG00000117643,MAN1C1,33,-0.2087,50,0.45443,66,1.08756,12,-1.7196,15,-1.3936,33,-0.2432,49,0.43999,20,-0.9431
ENSG00000162430,SELENON,126,1.34904,34,-0.8117,37,-0.7304,48,-0.2534,36,-0.6952,38,-0.7028,103,0.98125,72,0.38096
ENSG00000117640,MTFR1L,174,1.26967,49,-0.7873,68,-0.3325,66,-0.3535,86,0.06948,93,0.22243,72,-0.2121,53,-0.6809
ENSG00000117632,STMN1,180,-2.4500,1470,0.80269,1155,0.45504,631,-0.5680,1347,0.65411,942,0.07294,508,-0.9020,720,-0.3613
ENSG00000158008,EXTL1,47,-0.1240,51,0.01244,78,0.84789,50,-0.0197,84,0.83452,49,-0.0592,12,-2.1813,7,-2.8867
ENSG00000142684,ZNF593,3,-3.3706,54,0.77735,36,0.12743,41,0.35128,36,0.14603,30,-0.2093,51,0.69576,17,-1.0494
ENSG00000142669,SH3BGRL3,162,-0.3451,186,-0.1273,198,-0.0312,156,-0.4102,297,0.63471,186,-0.1509,220,0.13942,229,0.20546
ENSG00000158062,UBXN11,3,-2.4407,12,-0.5415,21,0.33722,20,0.23526,20,0.25560,26,0.71380,9,-0.9099,16,-0.1751
ENSG00000117682,DHDDS,3,-2.4914,29,0.79441,16,-0.1810,20,0.18247,24,0.48602,21,0.28133,17,-0.1133,12,-0.6631
ENSG00000198830,HMGN2,3,-5.1280,75,-0.6367,122,0.13639,81,-0.5213,92,-0.3180,82,-0.5552,235,1.23462,236,1.24294
ENSG00000117713,ARID1A,3,-3.8082,55,0.30790,55,0.35388,45,-0.0172,30,-0.6320,50,0.18109,66,0.63060,43,-0.0713
ENSG00000204160,ZDHHC18,3,-3.1506,53,0.98192,37,0.43463,22,-0.4721,31,0.11268,35,0.32604,34,0.23145,5,-2.4664
ENSG00000090273,NUDC,120,-0.5064,166,-0.0065,234,0.64266,146,-0.2087,170,0.03882,146,-0.2294,170,0.03113,132,-0.3681
ENSG00000253368,TRNP1,3,-4.1690,79,0.51127,80,0.60699,54,-0.1273,66,0.21545,90,0.83653,28,-1.1081,10,-2.6733
ENSG00000090020,SLC9A1,3,-2.8071,50,1.33153,16,-0.5840,18,-0.3732,33,0.64236,29,0.48297,30,0.48104,0,-5.2516
ENSG00000142784,WDTC1,86,1.29059,29,-0.4814,46,0.27575,31,-0.3735,34,-0.2304,25,-0.7806,41,0.06265,33,-0.2824
ENSG00000186501,TMEM222,21,-1.9273,96,0.38948,82,0.16586,70,-0.1037,85,0.20438,91,0.34364,62,-0.3004,71,-0.0864
ENSG00000158195,WASF2,72,0.88581,16,-1.4332,16,-1.6072,18,-1.2986,17,-1.3882,20,-1.2025,73,0.91227,152,2.33640
ENSG00000126705,AHDC1,3,-3.5352,61,0.80212,47,0.41597,33,-0.1975,73,1.12912,33,-0.2190,16,-1.2637,27,-0.4923
ENSG00000126709,IFI6,352,1.59927,101,-0.5063,66,-1.2409,74,-0.9887,174,0.35594,101,-0.5593,190,0.50653,169,0.30961
ENSG00000117758,STX12,3,-4.5250,86,0.23381,63,-0.2982,82,0.16672,165,1.35219,66,-0.2029,83,0.18499,65,-0.1996
ENSG00000117751,PPP1R8,3,-2.9329,41,0.83185,17,-0.6519,18,-0.4590,32,0.44488,21,-0.2773,36,0.62611,39,0.77468
ENSG00000117748,RPA2,3,-3.8297,56,0.33510,81,1.11040,28,-0.7565,36,-0.3813,46,-1.2639,53,0.21843,29,-0.7008
ENSG00000126698,DNAJC8,3,-4.8666,115,0.32245,94,-0.0115,86,-0.1349,97,0.04943,125,0.52765,118,0.36889,85,-0.1666
ENSG00000130770,ATP5IF1,215,-0.8206,344,-0.0869,640,1.11834,281,-0.4097,245,-0.6192,367,0.01755,360,-0.0180,177,-1.1138
ENSG00000180098,TRNAU1AP,3,-2.3642,16,-0.0200,18,0.12281,13,-0.3105,14,-0.2229,20,0.32718,23,0.51320,20,0.31405
ENSG00000120656,TAF12,3,-2.1217,14,-0.0114,14,0.04438,14,0.04782,12,-0.2770,18,0.44021,11,-0.3599,21,0.67722
ENSG00000198492,YTHDF2,179,1.33484,90,0.15939,58,-0.6036,52,-0.6965,111,0.49405,93,0.23164,42,-1.0250,42,-1.0408
ENSG00000116350,SRSF4,29,-0.2454,39,0.22706,41,0.35187,23,-0.6226,29,-0.2126,33,-0.0504,32,-0.0744,38,0.19190
ENSG00000116353,MECR,3,-3.1862,54,1.02172,30,0.03210,30,0.03265,30,0.03132,32,0.18221,32,0.15459,19,-0.6713
ENSG00000060656,PTPRU,96,2.29902,7,-1.9274,0,-5.3286,13,-1.0583,104,2.49121,7,-2.0202,18,-0.5793,13,-1.0932
ENSG00000162511,LAPTM5,64,1.53756,5,-2.3822,8,-1.8006,22,-0.2782,28,0.12832,11,-1.4006,75,1.84433,27,0.06867
ENSG00000162512,SDC3,3,-5.5624,178,0.20714,163,0.07622,157,0.00311,173,0.16682,182,0.27897,208,0.46429,154,-0.0220
