Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000179403,VWA1,66,-0.7917,35,-1.7566,37,-1.6637,22,-2.4161,27,-2.0991,152,0.55686,130,0.29981,402,2.47520,107,-0.0300
ENSG00000205090,TMEM240,3,-4.0147,36,-0.3211,80,0.99923,137,2.05675,83,1.06348,2,-4.4449,25,-0.8568,6,-2.9225,26,-0.8298
ENSG00000160075,SSU72,150,0.22300,84,-0.6969,134,0.03529,114,-0.2231,167,0.39468,204,0.73898,175,0.47863,105,-0.3529,46,-1.6012
ENSG00000228594,FNDC10,3,-3.4200,29,0.00016,58,1.17227,32,0.13841,64,1.34148,50,0.89407,0,-6.4260,14,-1.0743,13,-1.2468
ENSG00000272106,AL691432.2,3,-2.9574,20,-0.0846,16,-0.4350,59,1.82373,9,-1.2121,2,-3.4005,37,0.93649,42,1.14958,2,-3.1090
ENSG00000197530,MIB2,40,0.30743,23,-0.5570,51,0.74690,18,-0.9356,47,0.60830,32,-0.0488,23,-0.5762,25,-0.4041,36,0.14526
ENSG00000215790,SLC35E2A,3,-3.2246,13,-1.0743,34,0.45281,31,0.33005,54,1.27876,24,-0.0752,8,-1.6780,25,-0.0011,37,0.62348
ENSG00000008130,NADK,3,-3.1101,19,-0.3406,39,0.83812,30,0.38041,27,0.20312,59,1.60748,7,-1.8973,29,0.32602,0,-5.0598
ENSG00000078369,GNB1,430,0.69256,151,-0.9949,289,0.03027,295,0.06306,508,0.98885,223,-0.3869,259,-0.1500,189,-0.6445,212,-0.4675
ENSG00000187730,GABRD,3,-4.0948,30,-0.6983,83,0.97472,160,2.28487,127,1.77760,11,-2.2053,0,-7.1560,0,-6.2349,7,-2.8952
ENSG00000067606,PRKCZ,3,-4.9624,55,-0.8323,152,0.81493,276,1.96196,111,0.27822,27,-1.8825,42,-1.2419,90,-0.0623,85,-0.1521
ENSG00000162585,FAAP20,303,1.95352,61,-0.8289,57,-0.9275,63,-0.7775,133,0.41406,90,-0.2197,88,-0.2576,62,-0.8061,72,-0.5766
ENSG00000157933,SKI,91,0.66698,31,-1.0460,60,-0.0228,42,-0.5751,102,0.86770,46,-0.4621,71,0.25354,66,0.11608,40,-0.6787
ENSG00000157916,RER1,144,0.98035,44,-0.9487,65,-0.3323,58,-0.5150,114,0.57595,48,-0.8008,100,0.35919,118,0.63013,33,-1.3643
ENSG00000157911,PEX10,14,-1.1410,24,-0.3706,45,0.66041,45,0.66480,30,-0.0181,41,0.50126,1,-4.4879,50,0.84232,21,-0.5431
ENSG00000197921,HES5,3,-3.1013,31,0.45596,99,2.78863,15,-0.7274,2,-3.3675,56,1.52404,0,-6.1716,4,-2.6335,1,-3.9973
ENSG00000157870,PRXL2B,19,-1.7994,38,-0.7735,136,1.32902,142,1.41092,109,0.92987,38,-0.7746,28,-1.2635,21,-1.6485,34,-0.9573
ENSG00000177133,PRDM16-DT,53,0.82611,41,0.40894,52,0.80965,0,-8.1339,3,-3.3307,123,2.54803,4,-3.0213,6,-2.3668,6,-2.4297
ENSG00000158109,TPRG1L,320,1.84708,39,-1.6387,150,0.45486,204,0.98045,181,0.76950,24,-2.3399,46,-1.4065,30,-2.0598,34,-1.8639
ENSG00000130764,LRRC47,3,-4.1484,22,-1.1893,65,0.47675,73,0.67171,60,0.35300,56,0.24421,51,0.07583,85,0.95370,21,-1.2834
ENSG00000069424,KCNAB2,3,-5.3581,68,-0.7777,277,1.59078,290,1.68119,269,1.53043,37,-1.6858,1,-6.4800,22,-2.4633,43,-1.4737
ENSG00000116254,CHD5,3,-5.6802,208,0.65257,289,1.24440,468,2.23034,229,0.81862,14,-3.3842,33,-2.2056,12,-3.6520,8,-4.2669
ENSG00000116251,RPL22,845,0.38191,322,-1.1468,372,-0.9271,342,-1.0546,190,-1.9411,533,-0.3686,1101,0.83600,1025,0.71051,1304,1.14031
ENSG00000116237,ICMT,98,1.60992,11,-1.9403,45,0.20239,19,-1.1584,21,-0.9781,54,0.52810,56,0.58660,24,-0.7716,26,-0.6274
ENSG00000097021,ACOT7,157,1.30467,44,-0.8130,86,0.25362,123,0.86391,146,1.16799,11,-2.8389,9,-3.0511,66,-0.1846,21,-1.9086
ENSG00000215788,TNFRSF25,3,-3.1827,18,-0.5271,58,1.48034,59,1.52215,60,1.53502,0,-6.8308,26,0.06399,0,-8.2160,0,-7.2088
ENSG00000171680,PLEKHG5,3,-3.2177,22,-0.2006,98,2.54408,69,1.77367,4,-2.6337,0,-7.1065,25,-0.0068,0,-8.2505,8,-1.7487
ENSG00000162408,NOL9,70,1.16779,28,-0.3629,46,0.45658,45,0.41180,70,1.18488,1,-4.5331,23,-0.6341,26,-0.4772,6,-2.6481
ENSG00000162413,KLHL21,135,1.70200,23,-1.2697,52,0.00313,33,-0.7054,24,-1.1906,68,0.45359,40,-0.3985,70,0.51147,20,-1.4709
ENSG00000007923,DNAJC11,3,-3.4924,26,-0.2695,63,1.22110,32,0.08273,96,2.06163,13,-1.3362,0,-6.5519,17,-0.9531,28,-0.1624
ENSG00000171735,CAMTA1,97,-0.8039,131,-0.3309,256,0.77325,273,0.88535,228,0.57317,201,0.35834,125,-0.4066,73,-1.2448,69,-1.3105
ENSG00000049245,VAMP3,278,1.60196,22,-2.4761,44,-1.4402,25,-2.2512,31,-1.9797,85,-0.4393,172,0.71695,241,1.32448,110,-0.0258
ENSG00000049246,PER3,163,1.91858,29,-1.0243,34,-0.7682,11,-2.3924,63,0.19779,47,-0.2769,76,0.50484,59,0.07947,22,-1.4643
ENSG00000116288,PARK7,48,-2.1243,115,-0.8002,199,0.06682,140,-0.4950,133,-0.5765,412,1.32829,185,-0.0574,272,0.58234,218,0.21619
ENSG00000142599,RERE,3,-5.0385,71,-0.3803,122,0.49844,91,0.02652,268,1.98094,55,-0.7735,65,-0.5137,102,0.20434,33,-1.5614
ENSG00000074800,ENO1,1706,1.78442,233,-1.5409,782,0.35661,474,-0.4526,578,-0.1367,1017,0.80682,303,-1.1447,275,-1.2898,297,-1.1739
ENSG00000171612,SLC25A33,36,-0.2986,15,-1.5698,72,0.86073,15,-1.6175,21,-1.0739,164,2.54315,31,-0.4877,31,-0.4987,0,-5.6161
ENSG00000171603,CLSTN1,293,-0.3986,195,-1.0316,572,0.69965,745,1.17146,900,1.53048,250,-0.6474,161,-1.3195,170,-1.2429,102,-2.0021
ENSG00000178585,CTNNBIP1,3,-3.3205,28,0.05373,9,-1.6501,41,0.65356,16,-0.7770,41,0.66586,29,0.08982,44,0.80320,35,0.38375
ENSG00000162441,LZIC,10,-1.9617,18,-1.0301,16,-1.1688,27,-0.4080,12,-1.6326,89,1.62792,21,-0.7752,48,0.50328,76,1.30895
ENSG00000130939,UBE4B,3,-3.3014,25,-0.0831,41,0.70778,55,1.20791,45,0.87551,4,-2.7730,2,-3.5040,65,1.52763,1,-3.9530
ENSG00000054523,KIF1B,422,0.63108,151,-1.0152,380,0.45173,408,0.57374,341,0.26983,197,-0.6117,107,-1.5318,388,0.48639,207,-0.5302
ENSG00000142657,PGD,72,0.72592,29,-0.7296,41,-0.2248,43,-0.1296,85,1.00655,52,0.16877,36,-0.4264,49,0.07118,14,-1.8150
ENSG00000160049,DFFA,3,-3.2038,25,0.01134,39,0.72372,1,-3.9760,24,-0.0499,50,1.17067,26,0.03583,44,0.92338,14,-0.8904
ENSG00000120948,TARDBP,58,-0.3182,26,-1.5400,94,0.46117,53,-0.4601,137,1.11383,36,-1.0745,84,0.26140,83,0.23932,70,-0.0205
ENSG00000116649,SRM,139,0.69500,52,-0.8685,139,0.70166,144,0.76041,104,0.20443,93,0.02296,44,-1.1386,66,-0.5176,42,-1.2086
ENSG00000171824,EXOSC10,20,-0.1497,19,-0.2895,8,-1.5900,28,0.35194,43,1.11403,8,-1.5619,12,-0.9526,54,1.53720,9,-1.3077
ENSG00000198793,MTOR,3,-3.2440,12,-1.2098,50,1.10896,50,1.11126,35,0.49209,40,0.70596,18,-0.5999,27,0.04954,0,-6.8329
ENSG00000116661,FBXO2,389,0.81607,124,-1.0240,318,0.47237,90,-1.5211,207,-0.2289,709,1.97084,54,-2.2785,88,-1.5390,173,-0.5119
ENSG00000132879,FBXO44,3,-5.2730,72,-0.6082,218,1.24242,285,1.76699,226,1.30822,35,-1.7120,42,-1.4278,35,-1.7097,38,-1.5864
ENSG00000116670,MAD2L2,3,-3.0241,17,-0.4571,35,0.75614,9,-1.2987,27,0.34453,26,0.24052,33,0.66331,44,1.17735,5,-2.1473
ENSG00000011021,CLCN6,45,-0.6640,49,-0.5250,82,0.31431,88,0.41636,214,2.09333,26,-1.4698,14,-2.3890,63,-0.1187,31,-1.1917
ENSG00000116685,KIAA2013,3,-3.8521,20,-1.0792,8,-2.3403,54,0.51798,36,-0.1351,66,0.85946,73,1.03421,64,0.81153,31,-0.3580
ENSG00000116688,MFN2,44,-0.6277,39,-0.8163,69,0.09093,91,0.55828,74,0.20930,67,0.03702,93,0.58386,72,0.16690,38,-0.8430
ENSG00000048707,VPS13D,3,-3.4075,31,0.10290,34,0.26325,57,1.16314,22,-0.4443,25,-0.2225,30,0.03127,39,0.47823,20,-0.5559
ENSG00000162496,DHRS3,369,2.87895,16,-2.4966,58,-0.5935,48,-0.9053,46,-0.9590,98,0.22780,103,0.31518,15,-2.6070,13,-2.8164
ENSG00000116731,PRDM2,3,-3.9640,25,-0.8493,43,0.02189,162,2.52732,21,-1.0794,28,-0.6828,35,-0.3231,57,0.47907,11,-2.0947
ENSG00000189337,KAZN,96,0.74720,22,-1.5675,19,-1.7672,41,-0.6534,158,1.66828,17,-1.9188,34,-0.9369,124,1.19884,42,-0.5940
ENSG00000142634,EFHD2,57,-1.2301,62,-1.0828,26,-2.3780,730,3.86944,82,-0.6745,42,-1.6708,34,-2.0075,20,-2.7566,73,-0.8409
ENSG00000116786,PLEKHM2,3,-4.1092,60,0.38894,80,0.89688,36,-0.4176,96,1.22369,13,-1.9168,54,0.22664,45,-0.0855,37,-0.3956
ENSG00000065526,SPEN,3,-3.8345,33,-0.2486,58,0.65060,42,0.11235,65,0.85094,22,-0.9089,14,-1.5847,76,1.14796,38,-0.0203
ENSG00000055070,SZRD1,3,-4.1455,23,-1.1792,51,0.09824,24,-1.0949,28,-0.8550,87,0.99757,94,1.13763,66,0.50815,59,0.33701
ENSG00000157191,NECAP2,43,0.72642,10,-1.5101,16,-0.8314,29,0.07521,15,-0.9216,59,1.26734,28,-0.0050,47,0.88494,3,-3.2385
ENSG00000159363,ATP13A2,19,-2.1086,57,-0.4523,95,0.36425,128,0.87429,215,1.86536,74,-0.0393,22,-1.8717,34,-1.2261,39,-1.0222
ENSG00000117118,SDHB,5,-3.4676,26,-1.0468,103,1.21400,38,-0.4534,25,-1.1151,76,0.66685,70,0.53003,95,1.05572,20,-1.4401
ENSG00000117115,PADI2,611,2.52240,29,-2.5995,54,-1.6977,19,-3.1799,45,-1.9647,40,-2.1213,93,-0.8702,379,1.48976,187,0.23571
ENSG00000179051,RCC2,3,-2.7546,27,0.62095,34,1.03674,11,-0.7324,0,-5.6441,4,-2.0448,23,0.39263,32,0.90391,31,0.85190
ENSG00000117154,IGSF21,3,-4.5270,43,-0.5950,57,-0.1471,285,2.99508,41,-0.6627,39,-0.7467,27,-1.3163,33,-1.0036,39,-0.7626
ENSG00000159423,ALDH4A1,285,2.81552,22,-1.6819,56,-0.3047,27,-1.3971,19,-1.9514,169,1.62514,0,-7.6795,12,-2.5891,16,-2.1897
ENSG00000127463,EMC1,49,0.54812,21,-0.8135,39,0.16007,37,0.06904,51,0.61626,28,-0.3772,55,0.74975,25,-0.5036,11,-1.6901
ENSG00000053372,MRTO4,3,-3.0355,17,-0.3855,64,1.87009,28,0.37662,12,-1.0037,14,-0.7703,27,0.29081,18,-0.3702,19,-0.2249
ENSG00000053371,AKR7A2,301,2.69231,23,-1.7908,22,-1.8464,58,-0.4090,5,-3.8201,126,0.88035,73,-0.0378,51,-0.6018,12,-2.7578
ENSG00000077549,CAPZB,9,-4.5827,105,-0.9876,233,0.27723,279,0.58262,385,1.15448,179,-0.1462,287,0.63339,157,-0.3586,134,-0.6064
ENSG00000173436,MICOS10,712,1.46584,146,-1.1669,236,-0.4271,140,-1.2352,202,-0.6668,243,-0.3761,287,-0.1119,308,-0.0007,498,0.80794
ENSG00000158747,NBL1,342,0.56953,119,-1.1081,157,-0.6860,432,0.98008,321,0.46407,209,-0.2385,471,1.13668,45,-2.5680,86,-1.5955
ENSG00000162545,CAMK2N1,38,-3.4124,362,-0.0370,585,0.76400,173,-1.1937,509,0.52566,203,-0.9463,196,-1.0024,710,1.11072,561,0.69359
ENSG00000158828,PINK1,235,-0.0584,124,-1.0605,250,0.04327,370,0.70184,325,0.47668,310,0.39967,148,-0.7852,175,-0.5254,254,0.06941
ENSG00000127483,HP1BP3,3,-5.4582,74,-0.8190,122,-0.0226,203,0.83297,203,0.83166,125,0.01929,113,-0.1411,202,0.81747,70,-0.9053
ENSG00000075151,EIF4G3,265,1.80059,41,-1.3208,98,0.02128,147,0.69843,130,0.48909,21,-2.2911,30,-1.8000,101,0.07363,37,-1.4863
ENSG00000117298,ECE1,157,1.90252,16,-1.8169,60,0.15428,11,-2.4090,32,-0.8210,11,-2.3646,123,1.41289,67,0.33067,13,-2.1827
ENSG00000076864,RAP1GAP,3,-5.7551,75,-1.0655,165,0.17479,602,2.71608,291,1.15697,47,-1.7550,29,-2.4790,40,-2.0146,81,-0.9417
ENSG00000090686,USP48,3,-3.5783,11,-1.6786,27,-0.3191,42,0.41231,63,1.10987,1,-4.3007,26,-0.3585,82,1.62766,39,0.28454
ENSG00000070831,CDC42,293,0.25072,108,-1.3156,227,-0.1628,253,0.01187,260,0.05801,215,-0.2519,368,0.63765,331,0.45770,205,-0.3226
ENSG00000173369,C1QB,3,-3.7038,22,-0.7537,32,-0.1914,0,-5.6344,10,-1.8951,20,-0.8606,165,3.05160,24,-0.5886,44,0.35345
ENSG00000004487,KDM1A,58,0.52058,26,-0.7436,47,0.18416,44,0.08078,77,1.01531,36,-0.2631,46,0.12526,20,-1.1266,25,-0.7953
ENSG00000169641,LUZP1,3,-3.1871,27,0.12372,56,1.41191,73,1.94082,15,-0.7606,22,-0.2181,22,-0.1976,3,-2.9100,2,-3.3232
ENSG00000125944,HNRNPR,14,-2.5786,53,-0.6072,75,-0.0391,76,-0.0271,153,1.16724,46,-0.8262,105,0.50681,129,0.85925,45,-0.8410
ENSG00000117318,ID3,788,2.95942,51,-1.8986,9,-4.3903,9,-4.4161,20,-3.2814,194,0.15107,462,1.70435,36,-2.4143,25,-2.9503
ENSG00000142676,RPL11,1199,0.66817,337,-1.3531,289,-1.5856,237,-1.8787,353,-1.2841,540,-0.6303,1679,1.27389,1186,0.64977,1412,0.95607
ENSG00000057757,PITHD1,204,0.91618,49,-1.3801,109,-0.1320,104,-0.2012,286,1.55182,39,-1.7216,60,-1.0656,129,0.14371,86,-0.5146
ENSG00000011009,LYPLA2,147,2.07058,26,-0.9309,81,0.90730,88,1.05795,28,-0.8256,6,-3.0743,32,-0.5815,11,-2.1487,5,-3.2754
ENSG00000189266,PNRC2,362,2.60210,36,-1.4444,46,-1.0933,50,-0.9756,50,-0.9731,99,0.10794,94,0.02484,60,-0.6820,38,-1.3802
ENSG00000188529,SRSF10,144,1.81701,27,-0.9991,43,-0.2922,31,-0.7941,26,-1.0663,56,0.11026,63,0.31203,56,0.12571,21,-1.3758
ENSG00000001461,NIPAL3,163,1.33741,23,-1.7948,43,-0.8599,72,-0.0626,46,-0.7652,13,-2.6699,52,-0.5929,182,1.54848,83,0.15014
ENSG00000133226,SRRM1,3,-4.0766,34,-0.4926,55,0.27867,29,-0.7062,46,-0.0014,7,-2.8432,119,1.66737,107,1.46659,16,-1.6181
ENSG00000169504,CLIC4,327,1.20678,47,-1.8827,25,-2.7975,47,-1.8941,44,-1.9998,94,-0.8608,378,1.47841,357,1.37173,139,-0.2409
ENSG00000117614,SYF2,84,0.51400,29,-1.1779,33,-0.9674,73,0.28512,54,-0.1918,54,-0.2011,110,0.98642,53,-0.2200,62,0.00992
ENSG00000117616,RSRP1,3,-4.6853,34,-1.1308,89,0.39146,86,0.32305,121,0.90777,46,-0.6516,94,0.48262,108,0.70977,52,-0.4663
ENSG00000183726,TMEM50A,60,-0.6354,40,-1.2494,78,-0.2208,40,-1.2598,122,0.51124,75,-0.2749,158,0.96088,174,1.13805,58,-0.6709
ENSG00000162430,SELENON,123,1.06603,46,-0.5597,50,-0.4344,65,-0.0232,101,0.72925,39,-0.8213,84,0.41714,53,-0.3310,29,-1.2766
ENSG00000117640,MTFR1L,63,0.21679,43,-0.3870,67,0.31673,79,0.58313,70,0.37918,72,0.43474,19,-1.5950,40,-0.5284,44,-0.3447
ENSG00000117632,STMN1,267,-1.1402,195,-1.6136,560,0.02337,1029,1.06043,763,0.53560,219,-1.4377,341,-0.7610,1117,1.21243,481,-0.2222
ENSG00000158008,EXTL1,3,-3.5017,31,-0.0109,34,0.15300,164,3.47041,24,-0.4074,0,-7.3872,4,-3.0914,10,-1.7238,10,-1.6578
ENSG00000142669,SH3BGRL3,14,-3.8757,81,-1.3142,106,-0.8998,267,0.58783,187,-0.0049,227,0.31236,400,1.30997,193,0.04568,214,0.21552
ENSG00000198830,HMGN2,248,0.73472,46,-1.8936,120,-0.4487,77,-1.1387,78,-1.1230,194,0.31972,302,1.08922,200,0.37004,171,0.11518
ENSG00000117713,ARID1A,3,-4.1488,33,-0.6062,84,0.92015,100,1.24448,48,-0.0217,24,-1.0668,60,0.35484,67,0.53605,17,-1.5799
ENSG00000204160,ZDHHC18,48,0.52962,21,-0.7930,63,1.00377,77,1.37889,64,1.04695,3,-3.4000,2,-3.7060,13,-1.4695,20,-0.8591
ENSG00000090273,NUDC,135,-0.0074,73,-0.9624,152,0.18981,121,-0.1728,144,0.10010,134,-0.0100,196,0.61863,122,-0.1657,140,0.05103
ENSG00000142784,WDTC1,3,-3.5426,32,0.00463,21,-0.6320,64,1.18864,24,-0.4524,42,0.43692,51,0.79067,46,0.61332,4,-3.0535
ENSG00000186501,TMEM222,55,-0.8739,67,-0.5753,185,1.11001,118,0.31895,144,0.65616,97,0.01183,67,-0.5800,92,-0.0742,45,-1.2002
ENSG00000158195,WASF2,91,0.63705,27,-1.2791,20,-1.7509,3,-4.2809,46,-0.4575,113,1.02517,90,0.62446,103,0.85927,63,0.03323
ENSG00000126705,AHDC1,101,1.18817,34,-0.6187,46,-0.1473,118,1.48448,30,-0.8095,36,-0.5279,49,-0.0523,16,-1.6944,23,-1.2066
ENSG00000126709,IFI6,30,-1.9501,67,-0.7502,82,-0.4257,113,0.08663,200,1.05914,139,0.42405,194,1.00329,64,-0.8144,77,-0.5198
ENSG00000117758,STX12,3,-4.8732,47,-0.8600,50,-0.7640,128,0.75919,167,1.23258,67,-0.3018,98,0.30102,104,0.40628,68,-0.2778
ENSG00000117751,PPP1R8,3,-3.8265,22,-0.8595,48,0.36385,63,0.79837,94,1.53820,14,-1.5827,36,-0.1280,55,0.58778,14,-1.4948
ENSG00000117748,RPA2,75,1.11679,21,-0.9423,43,0.17276,41,0.09709,26,-0.6359,55,0.59528,38,-0.0238,36,-0.1154,13,-1.6627
ENSG00000126698,DNAJC8,279,1.37520,56,-1.2560,181,0.59565,153,0.31543,103,-0.3266,37,-1.8886,128,0.02464,119,-0.0920,80,-0.7131
ENSG00000130770,ATP5IF1,258,0.28927,109,-1.0699,230,0.10328,189,-0.2197,463,1.31941,161,-0.4725,168,-0.4008,200,-0.1220,167,-0.4090
ENSG00000198492,YTHDF2,3,-4.0371,31,-0.7457,97,1.13788,76,0.70648,85,0.90209,38,-0.4057,48,-0.0546,38,-0.4036,30,-0.7635
ENSG00000116350,SRSF4,4,-3.3236,24,-0.9209,49,0.21735,59,0.54511,42,-0.0389,41,-0.0611,83,1.13557,33,-0.4017,49,0.22190
ENSG00000116353,MECR,3,-3.5565,14,-1.2169,25,-0.4034,21,-0.6854,92,1.87527,28,-0.2272,49,0.70338,14,-1.2790,44,0.50879
ENSG00000060656,PTPRU,71,0.76465,11,-2.1197,16,-1.5731,232,3.40709,16,-1.5790,0,-7.9188,28,-0.7122,22,-1.1271,8,-2.5578
ENSG00000162511,LAPTM5,3,-4.0659,21,-1.1774,10,-2.2609,19,-1.3290,62,0.48755,32,-0.5723,165,2.39583,66,0.59509,35,-0.4263
ENSG00000162512,SDC3,959,2.20863,139,-1.1538,266,-0.1414,366,0.37822,257,-0.1991,369,0.39257,103,-1.5976,90,-1.7999,67,-2.2513
ENSG00000134644,PUM1,46,-1.2175,61,-0.7967,139,0.51724,218,1.32438,146,0.60354,103,0.02923,74,-0.5008,83,-0.3132,42,-1.3615
ENSG00000121766,ZCCHC17,3,-4.7604,51,-0.6027,79,0.10351,185,1.61240,160,1.32804,34,-1.2063,61,-0.3056,67,-0.1684,28,-1.5023
ENSG00000121769,FABP3,3,-4.1083,45,-0.0569,44,-0.1147,96,1.22438,144,2.02867,40,-0.2664,27,-0.8836,11,-2.1380,14,-1.8718
ENSG00000162517,PEF1,28,-1.2299,34,-0.9333,122,1.18129,99,0.80424,110,0.98149,28,-1.2053,52,-0.2599,63,0.03350,17,-1.9851
ENSG00000084636,COL16A1,284,2.19713,23,-2.0049,49,-0.8750,61,-0.5510,80,-0.1261,74,-0.2466,82,-0.0779,87,0.01039,36,-1.3344
ENSG00000121753,ADGRB2,201,0.58654,124,-0.2124,179,0.38841,433,2.03892,111,-0.3857,64,-1.2371,65,-1.2063,60,-1.3174,35,-2.1284
ENSG00000184007,PTP4A2,642,1.08912,117,-1.6453,99,-1.8975,172,-1.0661,86,-2.0993,210,-0.7571,238,-0.5645,784,1.46717,705,1.26272
ENSG00000121774,KHDRBS1,216,0.97373,57,-1.1863,103,-0.2640,89,-0.4894,238,1.14712,28,-2.2168,142,0.25447,100,-0.3116,121,-0.0085
ENSG00000084652,TXLNA,213,2.88915,21,-1.2700,31,-0.7261,57,0.24171,25,-1.0362,6,-3.0376,34,-0.5837,34,-0.5834,19,-1.4252
ENSG00000084623,EIF3I,3,-4.9011,38,-1.2091,91,0.17586,74,-0.1596,108,0.44981,123,0.68410,172,1.27595,97,0.27076,32,-1.4524
ENSG00000175130,MARCKSL1,325,-0.5070,190,-1.3283,303,-0.6184,109,-2.1574,334,-0.4637,389,-0.2208,275,-0.7659,1708,2.56091,387,-0.2310
ENSG00000160058,BSDC1,21,-1.3329,34,-0.6531,104,1.22135,35,-0.5659,87,0.90930,45,-0.2015,26,-1.0197,73,0.60149,32,-0.7345
ENSG00000176261,ZBTB8OS,3,-3.2412,24,-0.1421,38,0.65994,3,-2.9132,38,0.65131,15,-0.8361,36,0.56726,43,0.84681,31,0.31519
ENSG00000162521,RBBP4,282,1.79584,47,-1.2180,73,-0.5472,85,-0.3155,128,0.35881,138,0.48445,30,-1.8962,100,-0.0446,45,-1.2883
ENSG00000134684,YARS,115,0.88556,35,-1.0229,81,0.28991,70,0.05615,193,1.87614,2,-4.7954,27,-1.4363,57,-0.2720,30,-1.2513
ENSG00000121905,HPCA,177,-0.1685,144,-0.4939,366,1.06448,790,2.68990,172,-0.2132,19,-3.4875,33,-2.6933,29,-2.8597,36,-2.5830
ENSG00000121900,TMEM54,3,-3.6244,35,0.05123,50,0.66280,22,-0.6652,23,-0.5721,40,0.29123,41,0.32627,43,0.39362,46,0.50056
ENSG00000004455,AK2,3,-3.9700,21,-1.1309,32,-0.4664,28,-0.6447,39,-0.1622,23,-0.9454,127,1.95352,83,1.11516,31,-0.5162
ENSG00000142920,AZIN2,3,-3.0630,15,-0.6639,50,1.35244,50,1.35504,14,-0.7993,20,-0.2251,7,-1.7579,46,1.17645,1,-3.8913
ENSG00000134686,PHC2,61,-0.4797,39,-1.1583,62,-0.4368,98,0.28975,71,-0.2235,81,-0.0239,149,1.01350,156,1.08807,22,-2.0157
ENSG00000163866,SMIM12,3,-3.5459,17,-0.9397,24,-0.4189,66,1.25492,59,1.04678,5,-2.6171,44,0.54032,29,-0.1586,38,0.29815
ENSG00000116544,DLGAP3,3,-3.7502,49,0.46367,100,1.78586,99,1.75219,50,0.49072,4,-3.0681,14,-1.5167,0,-8.7781,13,-1.5844
ENSG00000116560,SFPQ,180,0.44599,72,-1.0009,102,-0.4759,177,0.42022,161,0.26522,97,-0.5539,144,0.07932,193,0.57092,108,-0.3804
