Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000196581,AJAP1,2,-4.0166,33,-0.2117,24,-0.6629,16,-1.3040,25,-0.5862,36,-0.0633,59,0.73945,62,0.82889,60,0.88402
ENSG00000069424,KCNAB2,167,-0.5397,306,0.46803,178,-0.4469,133,-0.8913,64,-1.9740,236,0.00079,259,0.14566,255,0.12269,348,0.71630
ENSG00000116254,CHD5,79,-0.5967,142,0.36622,76,-0.6502,68,-0.8145,145,0.36016,231,1.14468,106,-0.1385,82,-0.5386,101,-0.2319
ENSG00000116251,RPL22,1403,1.45036,551,-0.1329,688,0.23451,856,0.59255,724,0.31625,345,-0.8445,351,-0.8170,376,-0.7093,345,-0.9102
ENSG00000116237,ICMT,27,-0.6208,28,-0.6332,20,-1.0761,20,-1.0599,20,-1.0626,50,0.33144,51,0.36914,59,0.59570,72,1.07883
ENSG00000158292,GPR153,4,-2.0602,21,0.39713,19,0.22552,11,-0.5878,2,-2.6465,4,-1.8928,18,0.12517,16,-0.0289,32,1.29953
ENSG00000097021,ACOT7,140,-1.0936,271,-0.0851,172,-0.7797,126,-1.2526,205,-0.5108,327,0.22458,577,1.17801,398,0.54439,320,0.21217
ENSG00000171680,PLEKHG5,19,-0.3636,28,0.22061,21,-0.2163,11,-1.1737,3,-3.0471,7,-1.7917,31,0.36199,18,-0.4499,51,1.45375
ENSG00000162408,NOL9,19,-0.7274,27,-0.1579,20,-0.5751,27,-0.1571,26,-0.1870,35,0.26546,24,-0.3334,25,-0.2541,48,0.89780
ENSG00000162413,KLHL21,26,-0.1852,15,-1.0263,14,-1.1092,24,-0.2632,50,0.91128,24,-0.3094,38,0.45419,34,0.24441,38,0.50853
ENSG00000116273,PHF13,13,-0.2889,11,-0.5493,4,-1.8954,8,-0.9463,16,0.08437,26,0.83203,12,-0.3942,14,-0.1180,27,1.04880
ENSG00000041988,THAP3,12,-0.7882,22,0.21014,14,-0.5427,14,-0.4610,27,0.50294,13,-0.5529,14,-0.5056,40,1.18007,18,-0.1141
ENSG00000007923,DNAJC11,40,0.33447,32,-0.0123,29,-0.1744,21,-0.6312,31,-0.0392,33,0.04204,32,-0.0252,32,-0.0319,36,0.21312
ENSG00000171735,CAMTA1,140,-0.0022,108,-0.4435,114,-0.3235,137,-0.0321,117,-0.2741,250,0.95420,130,-0.1207,211,0.66737,112,-0.3815
ENSG00000049245,VAMP3,58,1.05690,7,-2.2586,54,0.93898,56,1.00365,110,2.28848,7,-2.1235,7,-2.2368,9,-1.7480,9,-1.9275
ENSG00000049246,PER3,28,0.30020,22,-0.0816,19,-0.3114,28,0.29418,35,0.69176,23,0.01911,22,-0.0887,24,0.08569,15,-0.7038
ENSG00000116288,PARK7,462,0.35869,385,0.07418,385,0.06656,358,-0.0498,385,0.06717,232,-0.7216,433,0.25223,411,0.16783,314,-0.2829
ENSG00000116285,ERRFI1,13,-0.5318,19,0.02975,12,-0.6730,6,-1.7813,35,0.97794,11,-0.7984,17,-0.1773,34,0.95527,21,0.17478
ENSG00000162426,SLC45A1,20,-0.9529,30,-0.4088,18,-1.1445,11,-1.8147,24,-0.7195,48,0.38365,72,1.06087,55,0.59358,54,0.66239
ENSG00000142599,RERE,121,0.28670,79,-0.4135,82,-0.3322,104,0.05333,87,-0.2306,100,-0.0191,84,-0.2812,119,0.26427,127,0.41930
ENSG00000074800,ENO1,458,-0.5168,583,-0.1540,718,0.19029,593,-0.1137,512,-0.3422,489,-0.4147,954,0.65631,732,0.22204,693,0.14898
ENSG00000171612,SLC25A33,31,0.16990,28,0.02431,34,0.30009,42,0.64342,23,-0.3049,12,-1.2475,23,-0.3038,51,0.95787,18,-0.7469
ENSG00000188807,TMEM201,4,-1.6283,11,-0.3885,12,-0.1781,10,-0.4623,15,0.18425,21,0.68602,9,-0.5984,32,1.46479,11,-0.2681
ENSG00000171603,CLSTN1,354,-0.7095,460,-0.3319,285,-1.0373,247,-1.2511,376,-0.6142,546,-0.0338,1029,1.00943,821,0.62666,779,0.61483
ENSG00000178585,CTNNBIP1,36,0.10316,25,-0.5050,56,0.81757,40,0.27333,52,0.67876,36,0.11942,30,-0.1656,46,0.48853,13,-1.5822
ENSG00000162441,LZIC,42,0.53303,25,-0.2734,30,0.01600,38,0.36801,59,1.10867,16,-0.9714,26,-0.2361,37,0.36211,15,-1.0972
ENSG00000130939,UBE4B,20,-0.7817,30,-0.1826,34,0.02267,19,-0.8594,38,0.20034,54,0.75853,43,0.40991,36,0.09146,32,-0.0619
ENSG00000054523,KIF1B,141,-0.8774,257,0.05306,190,-0.4229,218,-0.2123,361,0.60122,328,0.44286,229,-0.1335,216,-0.2260,272,0.15606
ENSG00000142657,PGD,42,-0.1547,33,-0.5307,27,-0.8142,33,-0.4955,54,0.25417,73,0.75600,52,0.19571,80,0.89803,39,-0.2951
ENSG00000241563,CORT,57,-0.9369,36,-1.7084,50,-1.1231,56,-0.9587,18,-2.6540,616,3.51484,4,-4.6186,254,1.49916,11,-3.4150
ENSG00000160049,DFFA,44,0.66020,12,-1.3797,41,0.55167,49,0.82847,37,0.35419,28,-0.0647,33,0.18013,26,-0.1923,20,-0.6590
ENSG00000142655,PEX14,4,-2.4275,16,-0.4965,17,-0.2969,16,-0.4056,9,-1.2680,21,-0.0494,20,-0.0745,43,1.14093,36,0.98051
ENSG00000120948,TARDBP,32,-0.8170,40,-0.5038,52,-0.0685,41,-0.4299,69,0.39227,60,0.15557,59,0.12556,49,-0.1693,77,0.64872
ENSG00000116649,SRM,70,-0.4911,95,-0.0209,101,0.07288,62,-0.6877,66,-0.5965,92,-0.0816,128,0.44885,132,0.50334,110,0.23805
ENSG00000171824,EXOSC10,22,0.24759,14,-0.5216,12,-0.6264,17,-0.1410,27,0.58349,17,-0.1624,20,0.07186,33,0.89739,16,-0.3170
ENSG00000198793,MTOR,20,-0.8442,30,-0.2927,35,-0.0194,22,-0.7155,30,-0.2442,34,-0.0799,65,0.98158,44,0.32924,40,0.22065
ENSG00000116661,FBXO2,374,0.38405,239,-0.3566,294,-0.0029,583,1.13577,213,-0.5050,223,-0.4350,280,-0.0763,280,-0.0797,256,-0.2437
ENSG00000132879,FBXO44,68,-1.0694,140,0.04786,99,-0.4977,50,-1.5269,120,-0.1982,198,0.60128,213,0.72103,161,0.26119,156,0.23758
ENSG00000116670,MAD2L2,35,0.41535,24,-0.1945,18,-0.6371,29,0.15333,26,-0.0705,7,-1.9349,36,0.45636,15,-0.8633,40,0.76439
ENSG00000177674,AGTRAP,34,1.54598,9,-0.6600,25,1.03253,31,1.37644,13,-0.0818,2,-2.6363,7,-0.8798,1,-3.6147,8,-0.8032
ENSG00000177000,MTHFR,7,-0.9854,10,-0.4596,8,-0.8608,12,-0.2190,14,-0.0297,26,1.04239,11,-0.4020,18,0.43820,18,0.44145
ENSG00000011021,CLCN6,21,-1.4075,39,-0.5202,26,-1.0772,24,-1.1932,60,0.19150,149,1.74579,72,0.47939,65,0.30413,46,-0.2605
ENSG00000116685,KIAA2013,24,-0.4416,17,-1.0785,27,-0.2523,31,-0.0547,62,1.05677,22,-0.5874,55,0.85524,32,0.00442,34,0.09653
ENSG00000083444,PLOD1,61,1.64494,10,-1.3470,13,-0.8545,24,0.05842,30,0.41362,17,-0.4428,25,0.10510,36,0.70764,14,-0.8296
ENSG00000116688,MFN2,58,-0.6289,65,-0.4948,86,-0.0165,56,-0.6680,110,0.37661,93,0.11748,126,0.61148,96,0.16706,99,0.23766
ENSG00000116691,MIIP,3,-2.2699,12,-0.4013,17,0.12718,20,0.36292,20,0.36421,19,0.25865,23,0.62307,17,0.16354,15,-0.1364
ENSG00000048707,VPS13D,64,0.54891,34,-0.4940,31,-0.5737,33,-0.5074,57,0.34688,69,0.66393,38,-0.2715,56,0.31253,43,-0.1091
ENSG00000162496,DHRS3,50,0.98277,14,-1.0642,56,1.17309,60,1.29997,34,0.34873,19,-0.5300,17,-0.6998,10,-1.4679,13,-1.2264
ENSG00000116731,PRDM2,21,-1.4419,48,-0.2086,24,-1.2192,39,-0.5129,91,0.84524,72,0.44272,63,0.23701,55,0.02530,68,0.40043
ENSG00000189337,KAZN,16,-1.4114,29,-0.6148,39,-0.0825,41,-0.0343,63,0.66556,88,1.23627,24,-0.8239,93,1.33630,18,-1.3703
ENSG00000142634,EFHD2,35,-1.1856,58,-0.4886,45,-0.8185,30,-1.4279,298,2.42565,218,1.78468,57,-0.4770,24,-1.7887,13,-2.8072
ENSG00000116138,DNAJC16,13,-0.5012,13,-0.4967,8,-1.1454,8,-1.1262,11,-0.7283,36,1.13572,30,0.82089,19,0.12675,22,0.38783
ENSG00000197312,DDI2,16,-0.1172,13,-0.4174,10,-0.8557,10,-0.7590,21,0.29785,16,-0.0788,19,0.16996,20,0.28082,25,0.65608
ENSG00000116786,PLEKHM2,51,-0.3435,70,0.16618,84,0.44439,63,-0.0256,32,-1.0716,61,-0.0795,68,0.10074,77,0.29415,63,-0.0158
ENSG00000065526,SPEN,41,0.48165,22,-0.5602,28,-0.1033,32,0.06647,41,0.46861,33,0.10654,31,0.01319,36,0.27167,25,-0.3506
ENSG00000116809,ZBTB17,15,-0.1383,23,0.58808,10,-0.6921,16,-0.0509,12,-0.4494,20,0.28284,14,-0.2136,8,-1.0439,20,0.32407
ENSG00000185519,FAM131C,4,-2.0918,12,-0.3883,26,0.85255,15,-0.0268,15,-0.0671,5,-1.6719,4,-2.0227,63,2.50943,7,-1.2543
ENSG00000037637,FBXO42,22,0.24693,15,-0.4325,10,-0.9256,7,-1.5139,24,0.36343,33,0.85682,30,0.71859,11,-0.8265,22,0.22955
ENSG00000055070,SZRD1,84,1.86151,13,-1.2102,26,-0.1530,61,1.25379,28,0.00241,11,-1.4442,12,-1.3092,32,0.19187,16,-0.9528
ENSG00000219481,NBPF1,6,-1.0066,4,-1.8034,13,0.05604,18,0.52982,23,0.97876,22,0.90828,15,0.28999,13,0.03222,10,-0.3549
ENSG00000238142,BX284668.5,45,1.73365,14,-0.2424,10,-0.7421,20,0.36066,5,-1.5662,4,-2.0735,18,0.15967,15,-0.0548,16,-0.0380
ENSG00000159363,ATP13A2,70,-1.0987,152,0.10548,128,-0.1789,72,-1.0466,98,-0.5798,165,0.23156,195,0.50175,250,0.91767,145,0.02490
ENSG00000117118,SDHB,77,-0.2082,81,-0.1506,58,-0.6444,60,-0.5956,70,-0.3624,86,-0.0359,105,0.26947,181,1.18680,86,-0.0442
ENSG00000117115,PADI2,60,0.45258,24,-1.0274,62,0.49619,126,1.75086,134,1.87326,3,-3.6440,16,-1.5675,13,-1.8217,17,-1.5688
ENSG00000179051,RCC2,39,1.26813,6,-1.7803,15,-0.2719,14,-0.3512,15,-0.2646,18,-0.0213,19,0.09762,13,-0.4409,26,0.69189
ENSG00000074964,ARHGEF10L,25,0.47603,21,0.21868,24,0.44728,23,0.34826,11,-0.7309,30,0.81353,9,-1.0434,18,-0.0336,10,-1.0333
ENSG00000117154,IGSF21,16,-1.7402,44,-0.2921,34,-0.6506,23,-1.2479,128,1.52227,74,0.56656,97,1.02729,37,-0.5126,37,-0.5714
ENSG00000159423,ALDH4A1,40,0.77709,28,0.23434,37,0.65412,36,0.64176,27,0.15945,20,-0.2719,8,-1.6674,17,-0.5220,14,-0.9533
ENSG00000127481,UBR4,12,0.03012,10,-0.3070,6,-1.1228,12,-0.0349,15,0.35133,7,-0.7305,17,0.48714,14,0.20607,15,0.39314
ENSG00000127463,EMC1,22,-0.3003,19,-0.5491,19,-0.5003,21,-0.4149,26,-0.0458,35,0.41611,39,0.59060,47,0.89477,24,-0.1847
ENSG00000053372,MRTO4,41,0.02419,32,-0.4012,31,-0.3829,35,-0.2320,38,-0.0955,49,0.30328,42,0.08071,50,0.36029,46,0.25110
ENSG00000053371,AKR7A2,78,0.92809,38,-0.2512,38,-0.2251,61,0.51030,51,0.21926,22,-1.0958,42,-0.0820,40,-0.1728,40,-0.1950
ENSG00000077549,CAPZB,271,0.47758,164,-0.3539,88,-1.2696,142,-0.5416,208,0.05521,302,0.66036,261,0.42143,216,0.11026,198,-0.0234
ENSG00000173436,MICOS10,355,0.14034,340,0.07825,352,0.12704,410,0.37346,286,-0.2019,269,-0.2957,324,-0.0064,369,0.20347,265,-0.3502
ENSG00000158747,NBL1,285,0.50431,227,0.15525,106,-1.0449,177,-0.2526,228,0.14457,397,1.06787,220,0.08457,162,-0.3890,130,-0.7872
ENSG00000162545,CAMK2N1,749,-0.8348,1654,0.46082,1168,-0.1489,982,-0.4202,417,-1.7150,693,-0.9545,1183,-0.1284,1231,-0.0659,2194,1.02090
ENSG00000090432,MUL1,22,-0.1063,12,-1.1559,13,-0.9600,19,-0.3298,34,0.56730,35,0.60602,22,-0.1168,41,0.88876,26,0.16907
ENSG00000183114,FAM43B,13,-0.1053,10,-0.5045,15,0.07806,7,-1.0760,32,1.33624,49,2.18388,8,-0.8895,8,-0.8978,1,-3.2649
ENSG00000158828,PINK1,276,-0.6232,411,-0.0012,455,0.16208,305,-0.4688,402,-0.0360,485,0.26437,526,0.39673,475,0.23112,389,-0.0987
ENSG00000244038,DDOST,49,0.80359,20,-0.6853,16,-0.9608,23,-0.3959,19,-0.6873,30,0.04117,57,1.08787,29,-0.0444,32,0.12470
ENSG00000117245,KIF17,27,0.73825,14,-0.2976,7,-1.2283,8,-1.0566,19,0.22882,18,0.12435,20,0.26714,11,-0.7015,23,0.57410
ENSG00000189410,SH2D5,17,-0.7505,16,-0.8923,34,0.31113,19,-0.6336,34,0.29256,29,0.07456,52,1.01601,26,-0.0966,32,0.24037
ENSG00000127483,HP1BP3,146,0.07829,97,-0.6145,102,-0.4720,130,-0.0994,185,0.46650,199,0.58502,125,-0.1647,116,-0.2763,164,0.30267
ENSG00000075151,EIF4G3,104,-0.2204,100,-0.3153,67,-0.9092,65,-0.9431,100,-0.2894,184,0.69150,154,0.40154,165,0.51685,141,0.28358
ENSG00000117298,ECE1,23,0.81189,10,-0.5145,17,0.32021,26,1.04515,16,0.22594,11,-0.2798,9,-0.6067,14,-0.0003,7,-0.9892
ENSG00000076864,RAP1GAP,84,-0.7349,90,-0.6960,74,-0.9403,55,-1.3858,155,0.21494,205,0.67172,205,0.66660,177,0.42342,179,0.50437
ENSG00000090686,USP48,34,0.00052,29,-0.2841,29,-0.2448,40,0.23721,50,0.59938,15,-1.2249,50,0.62101,26,-0.3947,37,0.12341
ENSG00000070831,CDC42,205,0.07712,127,-0.7225,116,-0.8096,123,-0.7168,222,0.20417,323,0.82225,269,0.51745,265,0.49397,185,-0.0938
ENSG00000173372,C1QA,254,2.87082,37,-0.6300,51,-0.0891,82,0.67269,43,-0.3577,12,-2.2583,18,-1.6409,21,-1.4139,20,-1.5964
ENSG00000159189,C1QC,172,2.72946,28,-0.5671,45,0.23777,67,0.88172,32,-0.3051,11,-1.8539,11,-1.8109,11,-1.8171,11,-1.9994
ENSG00000173369,C1QB,295,2.47789,54,-0.5574,79,0.09405,113,0.66984,65,-0.2127,34,-1.2139,25,-1.6307,18,-2.0975,42,-0.9609
ENSG00000004487,KDM1A,12,-1.6969,39,0.11374,23,-0.7092,18,-1.0576,31,-0.2596,50,0.50456,53,0.60869,50,0.48626,44,0.31218
ENSG00000169641,LUZP1,25,-0.5737,28,-0.4000,25,-0.5738,15,-1.2853,39,0.12491,68,1.05417,34,-0.0945,70,1.10066,31,-0.2433
ENSG00000125944,HNRNPR,61,-0.5329,67,-0.4156,64,-0.4431,58,-0.5970,122,0.57391,98,0.21759,113,0.44283,87,0.02447,102,0.31272
ENSG00000125945,ZNF436,7,-1.4311,12,-0.7494,5,-1.9479,4,-2.1471,19,0.04334,27,0.59895,21,0.15575,19,0.04575,40,1.47218
ENSG00000117318,ID3,429,5.29243,0,-9.8279,5,-3.3376,62,0.38267,34,-0.5579,5,-3.3008,2,-4.6964,0,-9.3325,0,-9.7067
ENSG00000142676,RPL11,1046,1.47590,363,-0.3193,539,0.33857,726,0.83268,559,0.39765,190,-1.2791,170,-1.4405,298,-0.5939,274,-0.7865
ENSG00000011007,ELOA,12,-0.2435,8,-0.9225,11,-0.3362,8,-0.9256,20,0.56873,21,0.59854,7,-0.9532,23,0.75116,19,0.50634
ENSG00000057757,PITHD1,103,-0.7606,182,0.12922,109,-0.6812,94,-0.9029,169,-0.0022,197,0.24036,269,0.75938,244,0.59691,155,-0.1516
ENSG00000011009,LYPLA2,36,-0.2751,40,-0.1398,31,-0.5393,22,-1.0545,27,-0.7296,31,-0.5338,55,0.37192,44,0.02029,76,1.06503
ENSG00000117308,GALE,7,-1.0962,9,-0.6160,9,-0.6763,5,-1.3939,12,-0.2271,7,-1.0395,20,0.57485,41,1.81802,17,0.32468
ENSG00000117305,HMGCL,16,-0.2469,17,-0.1728,17,-0.2041,19,-0.0076,36,1.04570,11,-0.8225,19,0.00383,17,-0.1804,20,0.08198
ENSG00000189266,PNRC2,87,1.08206,28,-0.8048,30,-0.6212,47,0.07298,52,0.24911,49,0.13554,55,0.32890,33,-0.4834,43,-0.0905
ENSG00000188529,SRSF10,33,-0.3709,42,0.03463,32,-0.4059,41,-0.0214,53,0.37593,40,-0.0504,59,0.57155,31,-0.4594,42,0.00987
ENSG00000001461,NIPAL3,15,-2.0820,30,-1.1272,46,-0.4077,92,0.68539,168,1.74839,90,0.64642,58,-0.0539,42,-0.5708,46,-0.4708
ENSG00000133226,SRRM1,68,0.57444,32,-0.6851,38,-0.3723,53,0.15166,115,1.47277,58,0.31875,35,-0.4789,32,-0.6130,32,-0.6935
ENSG00000169504,CLIC4,143,2.44110,4,-3.3064,27,-0.4535,68,1.01325,120,2.06084,5,-2.8497,4,-3.3083,13,-1.5840,8,-2.4247
ENSG00000117614,SYF2,135,1.27259,50,-0.3797,48,-0.4118,83,0.44824,59,-0.0980,42,-0.6141,58,-0.1329,55,-0.2028,55,-0.2301
ENSG00000117616,RSRP1,71,1.06636,18,-1.1360,24,-0.6355,24,-0.6720,70,1.03882,41,0.17990,42,0.20865,29,-0.3573,34,-0.1454
ENSG00000183726,TMEM50A,127,0.77738,40,-1.1289,55,-0.5635,53,-0.6173,89,0.19255,72,-0.1482,99,0.37168,42,-0.9699,125,0.86697
ENSG00000204178,MACO1,33,0.59124,13,-0.8662,9,-1.3863,8,-1.4595,38,0.85184,33,0.57384,26,0.20960,32,0.54588,22,-0.0672
ENSG00000117643,MAN1C1,28,-0.4642,26,-0.6415,11,-1.7944,16,-1.3201,8,-2.2136,19,-0.9980,50,0.46545,66,0.92944,81,1.53125
ENSG00000162430,SELENON,65,0.88701,24,-0.7566,29,-0.4089,46,0.32977,26,-0.5636,53,0.55904,22,-0.8366,29,-0.3720,47,0.42228
ENSG00000117640,MTFR1L,46,-0.2481,42,-0.3921,43,-0.3309,51,-0.0821,63,0.25362,52,-0.0522,58,0.11646,69,0.39597,62,0.24976
ENSG00000117632,STMN1,550,-0.9937,950,-0.1688,761,-0.4988,630,-0.7889,1419,0.49086,1319,0.37216,1694,0.78626,1362,0.42424,939,-0.1892
ENSG00000158008,EXTL1,2,-3.9117,41,-0.0063,43,0.06905,32,-0.3610,33,-0.3256,57,0.54385,55,0.47557,32,-0.3912,56,0.59261
ENSG00000142684,ZNF593,34,0.37935,36,0.52472,21,-0.3635,16,-0.7365,50,1.02470,19,-0.5421,28,0.06009,22,-0.2800,16,-0.8451
ENSG00000142669,SH3BGRL3,293,0.34685,270,0.24466,199,-0.2681,227,-0.0579,374,0.75094,217,-0.1275,368,0.72534,165,-0.5553,105,-1.3352
ENSG00000158062,UBXN11,31,0.39636,29,0.34824,18,-0.4763,18,-0.4334,5,-2.1499,26,0.14020,18,-0.4678,19,-0.3440,35,0.70125
ENSG00000117682,DHDDS,23,0.50949,10,-0.8016,14,-0.3370,17,-0.0171,26,0.66066,16,-0.1197,34,1.12946,16,-0.1075,10,-0.7911
ENSG00000198830,HMGN2,283,1.56269,57,-1.1369,140,0.34688,162,0.58217,139,0.34006,61,-0.9330,69,-0.7527,95,-0.2644,88,-0.4236
ENSG00000117713,ARID1A,31,-0.7411,34,-0.6213,55,0.16183,42,-0.2445,60,0.29971,57,0.22071,66,0.46900,58,0.25552,54,0.13977
ENSG00000204160,ZDHHC18,7,-1.6872,22,-0.1426,13,-0.8374,12,-0.9692,18,-0.4345,31,0.44647,29,0.33442,28,0.28473,38,0.88752
