"cluster","type","scores","ncells","confident","type_short","type_rank","ct_fine"
"k20c01","Astrocytes",128653.229113972,19752,TRUE,"Astro",1,"Astro1"
"k20c23","Astrocytes",12690.8626994684,2313,TRUE,"Astro",2,"Astro2"
"k20c17","Astrocytes",1563.5482885474,650,TRUE,"Astro",3,"Astro3"
"k20c33","Astrocytes",1672.34186673395,306,TRUE,"Astro",4,"Astro4"
"k20c29","Astrocytes",1262.2432142837,209,TRUE,"Astro",5,"Astro5"
"k20c20","Endothelial cells",4442.47599796604,1491,TRUE,"Endo",1,"Endo1"
"k20c05","Microglial cells",54838.5048641598,11068,TRUE,"Micro",1,"Micro1"
"k20c11","Microglial cells",15114.4444039068,3734,TRUE,"Micro",2,"Micro2"
"k20c21","Microglial cells",2168.77696572641,1455,TRUE,"Micro",3,"Micro3"
"k20c28","Microglial cells",1353.61678062003,356,TRUE,"Micro",4,"Micro4"
"k20c25","Oligodendrocytes",144326.719174656,21993,TRUE,"Oligo",1,"Oligo1"
"k20c07","Oligodendrocytes",73546.284974816,19327,TRUE,"Oligo",2,"Oligo2"
"k20c14","Oligodendrocytes",62972.1000402628,9074,TRUE,"Oligo",3,"Oligo3"
"k20c03","Oligodendrocytes",7220.23260304806,3890,TRUE,"Oligo",4,"Oligo4"
"k20c18","Oligodendrocytes",1347.14510530539,238,TRUE,"Oligo",5,"Oligo5"
"k20c15","Oligodendrocyte precursor cells",102190.075800166,13154,TRUE,"OPC",1,"OPC1"
"k20c02","GABAergic neurons",36426.129230518,8148,TRUE,"Neu_GABA",1,"Neu_GABA1"
"k20c04","GABAergic neurons",8111.31699345911,1747,TRUE,"Neu_GABA",2,"Neu_GABA2"
"k20c08","GABAergic neurons",6847.05620207764,1088,TRUE,"Neu_GABA",3,"Neu_GABA3"
"k20c12","Glutamatergic neurons",45635.999854844,8999,TRUE,"Neu_Glut",1,"Neu_Glut01"
"k20c10","Glutamatergic neurons",13442.833608112,3570,TRUE,"Neu_Glut",2,"Neu_Glut02"
"k20c09","Glutamatergic neurons",11893.4576051791,2321,TRUE,"Neu_Glut",3,"Neu_Glut03"
"k20c13","Glutamatergic neurons",11885.4344554105,2185,TRUE,"Neu_Glut",4,"Neu_Glut04"
"k20c16","Glutamatergic neurons",3810.01989846743,726,TRUE,"Neu_Glut",5,"Neu_Glut05"
"k20c06","Glutamatergic neurons",3147.39210769882,662,TRUE,"Neu_Glut",6,"Neu_Glut06"
"k20c32","Glutamatergic neurons",499.596091698217,457,TRUE,"Neu_Glut",7,"Neu_Glut07"
"k20c31","Glutamatergic neurons",1523.06048152798,317,TRUE,"Neu_Glut",8,"Neu_Glut08"
"k20c30","Glutamatergic neurons",1246.18573239369,256,TRUE,"Neu_Glut",9,"Neu_Glut09"
"k20c19","Glutamatergic neurons",1147.80250386083,220,TRUE,"Neu_Glut",10,"Neu_Glut10"
"k20c24","Glutamatergic neurons",562.2694183203,129,TRUE,"Neu_Glut",11,"Neu_Glut11"
"k20c27","Glutamatergic neurons",589.439960847411,119,TRUE,"Neu_Glut",12,"Neu_Glut12"
"k20c22","Glutamatergic neurons",157.395549067582,109,TRUE,"Neu_Glut",13,"Neu_Glut13"
"k20c26","Glutamatergic neurons",293.491118923502,56,TRUE,"Neu_Glut",14,"Neu_Glut14"
